;1957-1959;1960-1969;1970-1979;1980-1989;1990;1991;1992;1993;1994;1995;1996;TOTAL
# Summary of USA Payloads
# https://history.nasa.gov/pocketstats/sect%20B/USA%20Pay.pdf
U.S. Payloads
AMSAT;0;0;3;0;2;0;0;0;0;0;0;5
AT&T;0;4;0;1;0;0;0;1;0;0;0;6
ASC;0;0;0;1;0;1;0;0;0;0;0;2
COMSAT;0;9;21;15;2;1;3;1;1;0;0;53
DOD11;437;140;86;16;15;11;10;11;10;10;757
GTE;0;0;0;6 1;1;0;0;0;0;0;8
Hughes;0;0;0;7;1;0;2;1;0;0;0;13
NASA7;155;67;49;7;11;11;11;11;10;12;351
NOAA;0;9;10;11;0;1;0;1;1;1;0;34
N. Utah Univ;0;0;0;1;0;0;0;0;0;0;0;1
RCA;0;0;3;7 1;0;0;0;0;0;0;11
SBS;0;0;0;4 1;0;0;0;0;0;0;5
WU;0;0;3;3;0;0;0;0;0;0;0;6
TOTAL18;614;247;191;31;30;27;25;24;21;22;1252

Cooperative Payloads
NASA/Canada;0;3;2;000;0;0;0;0;0;5
NASA/DOD;0;0;0;0220 0;1;0;0;5
NASA/ESA;0;2;4;0010 2;0;1;1;11
NASA/France;0;1;3;2;0;0;1;0;0;0;0;7
France/Germany;0;0;2;0000 0;0;0;0;2
NASA/Germany;0;1;3;0100 0;1;0;0;6
NASA/Italy;0;2;2;1001;0;0;0;1;7
NASA/Japan;0;0;0;0;0;0;1;0;0;1;1;3
NASA/Netherlands00;1;1000 0;0;0;0;2
NASA/NOAA00;2;0010;1;1;1;0;6
NASA/NRL02;1;0000;0;0;0;0;3
NASA/SKorea;0;0;0;0;0;0;0;0;0;1;1;1
NASA/Spain;0;0;1;0000 0;0;0;0;1
NASA/UK;0;3;2;0010 1;0;0;0;6
TOTAL;0;14;24;4;3;5;3;4;3;3;4;66
