,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Soyuz/Molniya**,10,0,6,0,3,0,1,0
1,Delta 2,7,0,1,0,3,0,3,0
2,Proton-(K/M)***,5,0,0,0,5,0,0,0
3,Pegasus XL,4,0,4,0,0,0,0,0
4,Ariane 5G,3,0,0,0,3,0,0,0
5,Zenit 3SL,3,0,0,0,3,0,0,0
6,Kosmos 3M,3,0,3,0,0,0,0,0
7,Titan 4B,2,0,0,0,2,0,0,0
8,Atlas V,2,0,0,0,2,0,0,0
9,Delta 4M,2,0,0,0,2,0,0,0
10,Atlas 3B,2,0,0,0,2,0,0,0
11,CZ-3A,2,0,0,0,2,0,0,0
12,Titan 23G,2,0,2,0,0,0,0,0
13,Rokot/Briz KM,2,0,2,0,0,0,0,0
14,CZ-2F,1,0,1,0,0,0,0,0
15,Ariane 4,1,0,0,0,1,0,0,0
16,Atlas 2AS,1,0,1,0,0,0,0,0
17,CZ-4B,1,0,1,0,0,0,0,0
18,CZ-2D,1,0,1,0,0,0,0,0
19,CZ-2C/SM,1,0,0,0,1,0,0,0
20,GSLV,1,0,0,0,1,0,0,0
21,PSLV,1,0,1,0,0,0,0,0
22,Strela (RS-18),1,0,1,0,0,0,0,0
23,M-V,1,0,0,0,0,0,1,0
24,H-2A,1,1,1,1,0,0,0,0
25,KT-1,0,1,0,1,0,0,0,0
26,STS,0,1,0,1,0,0,0,0
