,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Chang Zheng,11,0,7,0,4,0,0,0
1,R-7,10,0,8,0,2,0,0,0
2,Proton,10,1,0,0,10,1,0,0
3,Ariane 5,6,0,1,0,5,0,0,0
4,Zenit,6,1,0,0,6,1,0,0
5,Delta 2,5,0,4,0,1,0,0,0
6,STS,4,0,4,0,0,0,0,0
7,PSLV,3,0,2,0,1,0,0,0
8,Kosmos 3M,3,0,3,0,0,0,0,0
9,Atlas 5,2,0,0,0,2,0,0,0
10,Dnepr,2,0,2,0,0,0,0,0
11,Pegasus XL,2,0,2,0,0,0,0,0
12,Falcon 1,2,1,2,1,0,0,0,0
13,H-2A,1,0,0,0,1,0,0,0
14,Rokot/Briz KM,1,0,1,0,0,0,0,0
15,Safir,1,1,1,1,0,0,0,0
