,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Proton-K(DM/Briz M),14,0,1,0,13,0,0,0
1,Soyuz-U(Ikar/Fregat) 13/13,10,0,3,0,0,0,0,0
2,Ariane 4,8,0,0,0,8,0,0,0
3,Atlas 2A(S),7,0,0,0,7,0,0,0
4,Delta 2,6,0,2,0,4,0,0,0
5,STS,5,0,5,0,0,0,0,0
6,Ariane 5,4,0,0,0,4,0,0,0
7,CZ-3A,3,0,0,0,3,0,0,0
8,Kosmos-3M,2,1,2,1,0,0,0,0
9,Zenit 3SL,2,1,0,0,2,1,0,0
10,Titan 4B,2,0,1,0,1,0,0,0
11,Zenit 2,2,0,2,0,0,0,0,0
12,Minotaur,2,0,2,0,0,0,0,0
13,Pegasus (Std/XL),2,0,2,0,0,0,0,0
14,Atlas 3A,1,0,0,0,1,0,0,0
15,Delta 3,1,0,0,0,1,0,0,0
16,CZ-4B,1,0,1,0,0,0,0,0
17,CZ-3,1,0,0,0,1,0,0,0
18,Dnepr-1,1,0,1,0,0,0,0,0
19,Titan 23G,1,0,1,0,0,0,0,0
20,Rokot/Briz KM,1,0,1,0,0,0,0,0
21,Start-1,1,0,1,0,0,0,0,0
22,Taurus,1,0,1,0,0,0,0,0
23,M-5,0,1,0,1,0,0,0,0
24,Tsyklon 3,0,1,0,1,0,0,0,0
