,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Proton-(K/M)***,8,0,0,0,8,0,0,0
1,Soyuz/Molniya**,8,0,7,0,1,0,0,0
2,Delta 2(H),7,0,3,0,3,0,1,0
3,Atlas 2AS,4,0,0,0,4,0,0,0
4,CZ-2C,4,0,4,0,0,0,0,0
5,Ariane 5G+,3,0,1,0,1,0,1,0
6,Zenit 3SL,3,1,0,0,3,1,0,0
7,CZ-4B,2,0,2,0,0,0,0,0
8,Kosmos 3M,2,0,2,0,0,0,0,0
9,Titan 4B,1,0,0,0,1,0,0,0
10,Atlas 5,1,0,0,0,1,0,0,0
11,Zenit 2,1,0,1,0,0,0,0,0
12,Atlas 3A,1,0,0,0,1,0,0,0
13,CZ-3A,1,0,0,0,1,0,0,0
14,GSLV,1,0,0,0,1,0,0,0
15,CZ-2D,1,0,1,0,0,0,0,0
16,Dnepr,1,0,1,0,0,0,0,0
17,Tsyklon 2,1,0,1,0,0,0,0,0
18,Taurus XL,1,0,1,0,0,0,0,0
19,Shavit,1,1,1,1,0,0,0,0
20,Tsyklon 3,1,1,1,1,0,0,0,0
21,Delta 4 Heavy,1,1,0,0,1,1,0,0
