,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,R-7,22,1,15,0,7,1,0,0
1,CZ,15,0,13,0,2,0,0,0
2,Atlas 5,9,0,2,0,7,0,0,0
3,Proton,8,2,0,0,8,2,0,0
4,Ariane 5,6,0,1,0,5,0,0,0
5,Falcon 9,6,0,3,0,3,0,0,0
6,Delta 4,4,0,1,0,3,0,0,0
7,H-2A,4,0,2,0,1,0,1,0
8,PSLV,3,0,1,0,2,0,0,0
9,Antares,3,1,3,1,0,0,0,0
10,Dnepr,2,0,2,0,0,0,0,0
11,Rokot/Briz KM,2,0,2,0,0,0,0,0
12,Angara A5,1,0,0,0,1,0,0,0
13,Zenit,1,0,0,0,1,0,0,0
14,Delta 2,1,0,1,0,0,0,0,0
15,GSLV,1,0,0,0,1,0,0,0
16,Vega,1,0,1,0,0,0,0,0
17,Strela,1,0,1,0,0,0,0,0
18,Kuaizhou,1,0,1,0,0,0,0,0
19,Shavit 2,1,0,1,0,0,0,0,0
