,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Soyuz-U,12,0,12,0,0,0,0,0
1,Delta 2,10,0,7,0,1,0,2,0
2,Ariane 4,9,0,1,0,8,0,0,0
3,Proton-K,7,2,0,0,7,2,0,0
4,Atlas 2A(S),5,0,1,0,4,0,0,0
5,STS,3,0,3,0,0,0,0,0
6,Pegasus XL,3,0,3,0,0,0,0,0
7,Zenit 3SL,2,0,0,0,2,0,0,0
8,CZ-4B,2,0,2,0,0,0,0,0
9,Molniya M,2,0,0,0,2,0,0,0
10,Titan 23G,2,0,2,0,0,0,0,0
11,Kosmos 3M,2,0,2,0,0,0,0,0
12,Ariane 5,1,0,0,0,1,0,0,0
13,Titan 4B,1,2,1,0,0,2,0,0
14,Athena 2,1,1,1,1,0,0,0,0
15,Zenit 2,1,0,1,0,0,0,0,0
16,CZ-2F,1,0,1,0,0,0,0,0
17,CZ-2C/SD,1,0,1,0,0,0,0,0
18,Dnepr 1,1,0,1,0,0,0,0,0
19,Tsyklon 2,1,0,1,0,0,0,0,0
20,Athena 1,1,0,1,0,0,0,0,0
21,Taurus-120,1,0,1,0,0,0,0,0
22,PSLV-C2,1,0,1,0,0,0,0,0
23,Delta 3,0,1,0,0,0,1,0,0
24,H-2S,0,1,0,0,0,1,0,0
25,VLS,0,1,0,1,0,0,0,0
