,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,R-7 Soyuz/Molniya**,12,1,8,0,3,1,1,0
1,Proton-(K/M) ***,7,0,0,0,7,0,0,0
2,Ariane 5 *****,5,0,0,0,5,0,0,0
3,Chang Zheng ****,5,0,4,0,1,0,0,0
4,Zenit 3SL/DMSL,4,0,0,0,4,0,0,0
5,Delta 2(H),3,0,1,0,1,0,1,0
6,Kosmos 3M,3,0,3,0,0,0,0,0
7,Titan 4B,2,0,2,0,0,0,0,0
8,Atlas 5,2,0,0,0,1,0,1,0
9,Minotaur,2,0,2,0,0,0,0,0
10,Rokot KM,2,1,2,1,0,0,0,0
11,STS,1,0,1,0,0,0,0,0
12,H-IIA,1,0,0,0,1,0,0,0
13,Atlas 3B,1,0,1,0,0,0,0,0
14,Dnepr,1,0,1,0,0,0,0,0
15,PSLV,1,0,1,0,0,0,0,0
16,M-5,1,0,1,0,0,0,0,0
17,Pegasus XL,1,0,1,0,0,0,0,0
18,Volna,1,1,1,1,0,0,0,0
