,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,CZ (DF-5),17,0,8,0,9,0,0,0
1,R-7,16,1,12,1,4,0,0,0
2,Atlas 5,9,0,3,0,6,0,0,0
3,Proton,8,1,0,0,8,1,0,0
4,Falcon 9,7,1,4,1,3,0,0,0
5,Ariane 5,6,0,0,0,6,0,0,0
6,PSLV,4,0,3,0,1,0,0,0
7,H-2A,3,0,2,0,1,0,0,0
8,Delta 4,2,0,0,0,2,0,0,0
9,Rokot/Briz KM,2,0,2,0,0,0,0,0
10,Vega,2,0,2,0,0,0,0,0
11,Zenit,1,0,0,0,1,0,0,0
12,GSLV,1,0,0,0,1,0,0,0
13,H-2B,1,0,1,0,0,0,0,0
14,Delta 2,1,0,1,0,0,0,0,0
15,Dnepr,1,0,1,0,0,0,0,0
16,CZ-6,1,0,1,0,0,0,0,0
17,CZ-11,1,0,1,0,0,0,0,0
18,Safir 1B,1,0,1,0,0,0,0,0
19,Soyuz 2-1v,1,1,1,1,0,0,0,0
20,Super Strypi,1,1,1,1,0,0,0,0
