,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,CZ (DF-5),19,2,12,2,7,0,0,0
1,R-7,14,1,11,1,3,0,0,0
2,Atlas 5,8,0,2,0,5,0,1,0
3,Falcon 9,8,0,3,0,5,0,0,0
4,Ariane 5,7,0,0,0,7,0,0,0
5,PSLV,6,0,3,0,3,0,0,0
6,Delta 4,4,0,1,0,3,0,0,0
7,Proton,3,0,0,0,2,0,1,0
8,H-2A,2,0,1,0,1,0,0,0
9,Rokot/Briz KM,2,0,2,0,0,0,0,0
10,Vega,2,0,2,0,0,0,0,0
11,CZ-5,1,0,0,0,1,0,0,0
12,H-2B,1,0,1,0,0,0,0,0
13,CZ-7,1,0,1,0,0,0,0,0
14,GSLV,1,0,0,0,1,0,0,0
15,Antares 230,1,0,1,0,0,0,0,0
16,Enhanced Epsilon,1,0,0,0,1,0,0,0
17,Shavit 2,1,0,1,0,0,0,0,0
18,CZ-11,1,0,1,0,0,0,0,0
19,Pegasus-XL,1,0,1,0,0,0,0,0
20,Unha,1,0,1,0,0,0,0,0
