,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,R-7,15,0,12,0,3,0,0,0
1,CZ,14,1,11,1,3,0,0,0
2,Proton,10,1,0,0,10,1,0,0
3,Atlas 5,8,0,2,0,5,0,1,0
4,Ariane 5,4,0,1,0,3,0,0,0
5,Rokot/Briz KM,4,0,4,0,0,0,0,0
6,Delta 4,3,0,1,0,2,0,0,0
7,Falcon 9,3,0,2,0,1,0,0,0
8,PSLV,3,0,1,0,2,0,0,0
9,Antares,2,0,2,0,0,0,0,0
10,Dnepr,2,0,2,0,0,0,0,0
11,Zenit,2,1,0,0,2,1,0,0
12,H-2B,1,0,1,0,0,0,0,0
13,H-2A,1,0,1,0,0,0,0,0
14,Soyuz 2-1v,1,0,1,0,0,0,0,0
15,Vega,1,0,1,0,0,0,0,0
16,Minotaur 5,1,0,0,0,1,0,0,0
17,Strela,1,0,1,0,0,0,0,0
18,Epsilon,1,0,1,0,0,0,0,0
19,Kuaizhou,1,0,1,0,0,0,0,0
20,Minotaur 1,1,0,1,0,0,0,0,0
21,KSLV-1 (Angara),1,0,1,0,0,0,0,0
22,Pegasus XL,1,0,1,0,0,0,0,0
