,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,CZ (DF-5),34,0,19,0,15,0,0,0
1,Falcon 9,20,0,10,0,10,0,0,0
2,R-7,15,1,12,1,3,0,0,0
3,Ariane 5,6,1,0,0,5,1,1,0
4,Atlas 5,5,0,0,0,4,0,1,0
5,PSLV,4,0,3,0,1,0,0,0
6,H-2A,3,0,3,0,0,0,0,0
7,CZ-11,3,0,3,0,0,0,0,0
8,Electron,3,0,3,0,0,0,0,0
9,Proton,2,0,0,0,2,0,0,0
10,GSLV,2,0,0,0,2,0,0,0
11,Antares,2,0,2,0,0,0,0,0
12,Vega,2,0,2,0,0,0,0,0
13,Rokot/Briz KM,2,0,2,0,0,0,0,0
14,Delta 4 Heavy,1,0,0,0,0,0,1,0
15,Falcon Heavy,1,0,0,0,0,0,1,0
16,H-2B,1,0,1,0,0,0,0,0
17,Delta 4M,1,0,1,0,0,0,0,0
18,GSLV Mk3,1,0,0,0,1,0,0,0
19,Soyuz 2-1v,1,0,1,0,0,0,0,0
20,Delta 2,1,0,1,0,0,0,0,0
21,Enhanced Epsilon,1,0,1,0,0,0,0,0
22,KZ-1A,1,0,1,0,0,0,0,0
23,SS-520,1,0,1,0,0,0,0,0
24,ZQ-1,1,1,1,1,0,0,0,0
