,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Falcon 9,18,0,11,0,7,0,0,0
1,R-7,14,1,10,1,4,0,0,0
2,CZ (DF-5),13,1,8,0,5,1,0,0
3,Ariane 5,6,0,0,0,6,0,0,0
4,Atlas 5,6,0,2,0,4,0,0,0
5,H-2A,6,0,2,0,4,0,0,0
6,Proton,4,0,0,0,4,0,0,0
7,Vega,3,0,3,0,0,0,0,0
8,PSLV,3,1,2,0,1,1,0,0
9,Delta 4,1,0,0,0,1,0,0,0
10,CZ-7,1,0,1,0,0,0,0,0
11,Zenit,1,0,0,0,1,0,0,0
12,GSLV Mk3,1,0,0,0,1,0,0,0
13,GSLV,1,0,0,0,1,0,0,0
14,Soyuz 2-1v/Volga,1,0,1,0,0,0,0,0
15,Delta 2,1,0,1,0,0,0,0,0
16,Antares 230,1,0,1,0,0,0,0,0
17,Rokot/Briz KM,1,0,1,0,0,0,0,0
18,Minotaur 4,1,0,1,0,0,0,0,0
19,Minotaur-C,1,0,1,0,0,0,0,0
20,CZ-6,1,0,1,0,0,0,0,0
21,KT-2,1,0,1,0,0,0,0,0
22,KZ-1A,1,0,1,0,0,0,0,0
23,CZ-5,1,1,0,0,1,1,0,0
24,SS-520-4,1,1,1,1,0,0,0,0
25,Electron,1,1,1,1,0,0,0,0
