,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,CZ,19,1,10,1,9,0,0,0
1,R-7,19,2,13,1,6,1,0,0
2,Proton,9,1,0,0,9,1,0,0
3,Ariane 5,5,0,1,0,4,0,0,0
4,Atlas 5,5,0,2,0,1,0,2,0
5,Zenit,5,0,1,0,4,0,0,0
6,Space Shuttle,3,0,3,0,0,0,0,0
7,PSLV,3,0,2,0,1,0,0,0
8,Delta 4,3,0,1,0,2,0,0,0
9,Delta 2,3,0,2,0,1,0,0,0
10,H-2A,2,0,2,0,0,0,0,0
11,Minotaur 1,2,0,2,0,0,0,0,0
12,H-2B,1,0,1,0,0,0,0,0
13,Dnepr,1,0,1,0,0,0,0,0
14,Minotaur 4+,1,0,0,0,1,0,0,0
15,Safir,1,0,1,0,0,0,0,0
16,Rokot/Briz KM,1,1,1,1,0,0,0,0
17,Taurus XL,1,1,1,1,0,0,0,0
