,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,R-7,13,1,12,0,1,1,0,0
1,Proton,10,0,0,0,10,0,0,0
2,Delta 2,8,0,5,0,2,0,1,0
3,Ariane 5,7,0,1,0,6,0,0,0
4,CZ,6,1,4,0,2,1,0,0
5,STS,5,0,5,0,0,0,0,0
6,Atlas 5,5,0,1,0,4,0,0,0
7,Zenit,4,0,0,0,4,0,0,0
8,Delta 4,3,0,0,0,3,0,0,0
9,Rokot/Briz KM,3,0,3,0,0,0,0,0
10,H-2A,2,0,2,0,0,0,0,0
11,PSLV,2,0,2,0,0,0,0,0
12,H-2B,1,0,1,0,0,0,0,0
13,Tsyklon 3,1,0,1,0,0,0,0,0
14,Kosmos 3M,1,0,1,0,0,0,0,0
15,Dnepr,1,0,1,0,0,0,0,0
16,Minotaur 1,1,0,1,0,0,0,0,0
17,Falcon 1,1,0,1,0,0,0,0,0
18,Safir,1,0,1,0,0,0,0,0
19,Taurus-XL,1,1,1,1,0,0,0,0
20,Unha 2,1,1,1,1,0,0,0,0
21,KSLV-1,1,1,1,1,0,0,0,0
