,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Delta 2,12,0,7,0,3,0,2,0
1,R-7 Soyuz/Molniya**,11,0,8,0,3,0,0,0
2,Ariane 4,10,0,1,0,9,0,0,0
3,Proton K/DM,7,0,1,0,6,0,0,0
4,Atlas 2/2A(S),6,0,0,0,6,0,0,0
5,Chang Zheng ****,6,0,4,0,2,0,0,0
6,Pegasus-XL,6,0,6,0,0,0,0,0
7,STS,5,0,5,0,0,0,0,0
8,Kosmos 3M,2,0,2,0,0,0,0,0
9,Taurus,2,0,2,0,0,0,0,0
10,Zenit 2,3,1,3,1,0,0,0,0
11,Ariane 5,1,0,0,0,1,0,0,0
12,Athena 2,1,0,0,0,0,0,1,0
13,Titan 2,1,0,1,0,0,0,0,0
14,M-5,1,0,0,0,0,0,1,0
15,RSM-54,1,0,1,0,0,0,0,0
16,Titan 4,2,1,0,0,2,1,0,0
17,Delta 3,1,1,0,0,1,1,0,0
18,H-2,1,1,0,0,1,1,0,0
19,Shavit,1,1,1,1,0,0,0,0
20,Taepo Dong,1,1,1,1,0,0,0,0
21,Tsiklon 3,1,1,1,1,0,0,0,0
