,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,CZ,15,0,7,0,8,0,0,0
1,R-7,13,0,11,0,2,0,0,0
2,Proton,12,1,0,0,12,1,0,0
3,Ariane 5,6,0,0,0,6,0,0,0
4,Atlas 5,4,0,2,0,2,0,0,0
5,STS,3,0,3,0,0,0,0,0
6,Delta 4,3,0,0,0,3,0,0,0
7,Dnepr,3,0,3,0,0,0,0,0
8,H-2A,2,0,0,0,1,0,1,0
9,Falcon 9,2,0,2,0,0,0,0,0
10,Rokot/Briz KM,2,0,2,0,0,0,0,0
11,Delta 2,1,0,1,0,0,0,0,0
12,Kosmos 3M,1,0,1,0,0,0,0,0
13,Minotaur 4,2,0,2,0,0,0,0,0
14,PSLV,1,0,1,0,0,0,0,0
15,Shavit-2,1,0,1,0,0,0,0,0
16,KSLV-1,1,1,1,1,0,0,0,0
17,GSLV,2,2,0,0,2,2,0,0
