,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Falcon 9,25,0,21,0,4,0,0,0
1,CZ (DF-5),25,1,18,0,7,1,0,0
2,R-7,15,0,11,0,4,0,0,0
3,Electron,7,1,7,1,0,0,0,0
4,Atlas 5,5,0,1,0,2,0,2,0
5,CZ-5(B),3,0,1,0,1,0,1,0
6,Ariane 5,3,0,0,0,3,0,0,0
7,H-2A,3,0,1,0,1,0,1,0
8,CZ-11,3,0,3,0,0,0,0,0
9,KZ-1A,3,1,3,1,0,0,0,0
10,Antares,2,0,2,0,0,0,0,0
11,PSLV,2,0,1,0,1,0,0,0
12,Vega,2,1,2,1,0,0,0,0
13,Delta 4 Heavy,1,0,0,0,1,0,0,0
14,Angara A5,1,0,0,0,1,0,0,0
15,Proton,1,0,0,0,1,0,0,0
16,H-2B,1,0,1,0,0,0,0,0
17,CZ-8,1,0,1,0,0,0,0,0
18,Minotaur 4,1,0,1,0,0,0,0,0
19,CZ-6,1,0,1,0,0,0,0,0
20,Shavit-2,1,0,1,0,0,0,0,0
21,Qased,1,0,1,0,0,0,0,0
22,Ceres-1,1,0,1,0,0,0,0,0
23,CZ-7A,1,1,0,0,1,1,0,0
24,Simorgh,1,1,1,1,0,0,0,0
25,LauncherOne,1,1,1,1,0,0,0,0
26,KZ-11,1,1,1,1,0,0,0,0
27,Astra Rocket 3,2,2,2,2,0,0,0,0
