,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,CZ (DF-5),21,1,9,1,12,0,0,0
1,R-7,16,0,11,0,5,0,0,0
2,Falcon 9,11,0,8,0,3,0,0,0
3,Electron,6,0,6,0,0,0,0,0
4,Proton,5,0,0,0,5,0,0,0
5,PSLV,5,0,5,0,0,0,0,0
6,KZ-1A,5,0,5,0,0,0,0,0
7,Ariane 5,4,0,0,0,4,0,0,0
8,CZ-11,3,0,3,0,0,0,0,0
9,Falcon Heavy,2,0,0,0,2,0,0,0
10,Atlas 5,2,0,1,0,1,0,0,0
11,Delta 4 Medium,2,0,0,0,2,0,0,0
12,Soyuz 2-1v,2,0,2,0,0,0,0,0
13,Antares,2,0,2,0,0,0,0,0
14,Rokot/Briz KM,2,0,2,0,0,0,0,0
15,Vega,2,1,2,1,0,0,0,0
16,CZ-5,1,0,0,0,1,0,0,0
17,Delta 4 Heavy,1,0,1,0,0,0,0,0
18,H-2B,1,0,1,0,0,0,0,0
19,GSLV Mk3,1,0,0,0,1,0,0,0
20,CZ-6,1,0,1,0,0,0,0,0
21,Enhanced Epsilon,1,0,1,0,0,0,0,0
22,Pegasus XL,1,0,1,0,0,0,0,0
23,SQX-1,1,0,1,0,0,0,0,0
24,Jielong-1,1,0,1,0,0,0,0,0
25,Simorgh,1,1,1,1,0,0,0,0
26,Safir,1,1,1,1,0,0,0,0
27,OS-M,1,1,1,1,0,0,0,0
28,H-2A,0,0,0,0,0,0,0,0
29,GSLV,0,0,0,0,0,0,0,0
30,ZQ-1,0,0,0,0,0,0,0,0
