,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Ariane 4,8,0,1,0,7,0,0,0
1,STS,5,0,5,0,0,0,0,0
2,Kosmos 3M,4,0,4,0,0,0,0,0
3,Atlas 2A(S),3,0,0,0,3,0,0,0
4,Delta 2,3,0,2,0,1,0,0,0
5,H-2A,3,0,1,0,2,0,0,0
6,CZ-2F,2,0,2,0,0,0,0,0
7,Rockot/Briz-KM,2,0,2,0,0,0,0,0
8,CZ-4B,2,0,2,0,0,0,0,0
9,Titan 4B,1,0,0,0,1,0,0,0
10,Zenit 3SL/DMSL,1,0,0,0,1,0,0,0
11,Atlas V-401,1,0,0,0,1,0,0,0
12,"Delta IVM+(4,2)",1,0,0,0,1,0,0,0
13,Atlas 3B,1,0,0,0,1,0,0,0
14,PSLV,1,0,0,0,1,0,0,0
15,Dnepr 1,1,0,1,0,0,0,0,0
16,Titan 23G,1,0,1,0,0,0,0,0
17,Shavit,1,0,1,0,0,0,0,0
18,Pegasus XL,1,0,1,0,0,0,0,0
19,Soyuz/Molniya**,8,1,6,1,2,0,0,0
20,Proton-(K/M)***,8,1,1,0,7,1,0,0
21,Ariane 5G/ECA,3,1,1,0,2,1,0,0
22,KT-1,0,1,0,1,0,0,0,0
