,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Discoverer 20,1961-005A,1961-02-17," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
1,Discoverer 21,1961-006A,1961-02-18," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Navy (United States)
2,Discoverer 22,DISC22,1961-03-30," Vandenberg AFB, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
3,Discoverer 23,1961-011A,1961-04-08," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
4,Discoverer 24,DISC24,1961-06-08," Vandenberg AFB, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
5,Discoverer 25,1961-014A,1961-06-16," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
6,Discoverer 26,1961-016A,1961-07-07," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
7,Discoverer 27,DISC27,1961-07-22," Vandenberg AFB, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
8,Discoverer 28,DISC28,1961-08-03," Vandenberg AFB, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
9,Discoverer 29,1961-023A,1961-08-30," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
10,Discoverer 30,1961-024A,1961-09-12," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
11,Discoverer 31,1961-026A,1961-09-17," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
12,Discoverer 32,1961-027A,1961-10-13," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
13,Discoverer 33,DISC33,1961-10-23," Vandenberg AFB, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
14,Discoverer 34,1961-029A,1961-11-05," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
15,Discoverer 35,1961-030A,1961-11-15," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
16,Discoverer 36,1961-034A,1961-12-12," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
17,Explorer  9,1961-004A,1961-02-16," Wallops Island, United States", Scout,NASA-Office of Space Science Applications (United States)
18,Explorer 12,1961-020A,1961-08-16," Cape Canaveral, United States", Thor-Delta,NASA-Office of Space Science Applications (United States)
19,Explorer S45,EXS-451,1961-02-24," Cape Canaveral, United States", Juno,NASA-Office of Space Science Applications (United States)
20,Explorer S45A,EXS-452,1961-05-24," Cape Canaveral, United States", Juno 2 (Juno II),NASA-Office of Space Science Applications (United States)
21,Explorer S55,EXS-55,1961-06-30," Wallops Island, United States", Scout,NASA-Office of Space Science Applications (United States)
22,Injun 1,1961-015B,1961-06-29," Cape Canaveral, United States", Thor,University of Iowa (United States); Department of Defense-Department of the Navy (United States)
23,Mercury Atlas 2,MERCA2,1961-02-21," Cape Canaveral, United States", Atlas,NASA-Office of Manned Space Flight (United States)
24,Mercury Atlas 3,MERCA3,1961-04-25," Cape Canaveral, United States", Atlas D,NASA-Office of Manned Space Flight (United States)
25,Mercury Atlas 4,1961-025A,1961-09-13," Cape Canaveral, United States", Atlas D,NASA-Office of Manned Space Flight (United States)
26,Mercury Atlas 5,1961-033A,1961-11-29," Cape Canaveral, United States", Atlas,NASA-Office of Manned Space Flight (United States)
27,Mercury Redstone 2,MERCR2,1961-01-31," Cape Canaveral, United States", Redstone,NASA-Office of Manned Space Flight (United States)
28,Mercury Redstone 3,MERCR3,1961-05-05," Cape Canaveral, United States", Redstone,NASA-Office of Manned Space Flight (United States)
29,Mercury Redstone 4,MERCR4,1961-07-21," Cape Canaveral, United States", Redstone,NASA-Office of Manned Space Flight (United States)
30,Mercury Redstone BD,MERCRBD,1961-03-24," Cape Canaveral, United States", Redstone,NASA-Office of Manned Space Flight (United States)
31,Mercury Scout 1,MERCS1,1961-11-01," Cape Canaveral, United States", Scout,NASA-Office of Manned Space Flight (United States)
32,MIDAS  3,1961-018A,1961-07-12," Point Arguello, United States", Atlas,Department of Defense-Department of the Air Force (United States)
33,MIDAS  4,1961-028A,1961-10-21," Point Arguello, United States", Atlas,Department of Defense-Department of the Air Force (United States)
34,OSCAR  1,1961-034B,1961-12-12," Vandenberg AFB, United States", Thor-Agena,Project Oscar Inc (United States); Department of Defense-Department of the Air Force (United States)
35,P 14 (Explorer 10),1961-010A,1961-03-25," Cape Canaveral, United States", Thor-Delta,NASA-Office of Space Science Applications (United States)
36,P21,P21,1961-10-19," Wallops Island, United States", Scout,unknown
37,Ranger 1,1961-021A,1961-08-23," Cape Canaveral, United States", Atlas-Agena B,NASA-Office of Space Science Applications (United States)
38,Ranger 2,1961-032A,1961-11-18," Cape Canaveral, United States", Atlas-Agena B,NASA-Office of Space Science Applications (United States)
39,S 15 (Explorer 11),1961-013A,1961-04-27," Cape Canaveral, United States", Juno,NASA-Office of Space Science Applications (United States)
40,S 55A,1961-022A,1961-08-25," Wallops Island, United States", Scout,NASA-Office of Aeronautics and Space Technology (United States)
41,SAMOS  2,1961-001A,1961-01-31," Point Arguello, United States", Atlas,Department of Defense-Department of the Air Force (United States)
42,SAMOS  3,SAMOS3,1961-09-09," Point Arguello, United States", Atlas,Department of Defense-Department of the Air Force (United States)
43,SAMOS  4,NNN6101,1961-11-22," Point Arguello, United States", Atlas-Agena,Department of Defense-Department of the Air Force (United States)
44,SAMOS  5,1961-035A,1961-12-22," Point Arguello, United States", Atlas,Department of Defense-Department of the Air Force (United States)
