,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,1970-003B,1970-003B,1970-01-15," Cape Canaveral, United States", Delta,Communications Satellite Corporation (United States)
1,1970-004B,1970-004B,1970-01-15," Plesetsk, U.S.S.R", Modified SS-4 (Sandal IRBM) plus Upper Stage,Unknown (U.S.S.R)
2,1970-012B,1970-012B,1970-02-11," Vandenberg AFB, United States", Thor-Burner II,Department of Defense-Department of the Air Force (United States)
3,1970-093B,1970-093B,1970-11-06," Cape Canaveral, United States", Titan,Department of Defense-Department of the Air Force (United States)
4,1970-093C,1970-093C,1970-11-06," Cape Canaveral, United States", Titan,Department of Defense-Department of the Air Force (United States)
5,Apollo 13 Command and Service Module (CSM),1970-029A,1970-04-11," Cape Canaveral, United States", Saturn 5,NASA-Office of Manned Space Flight (United States)
6,Apollo 13 Lunar Module/ALSEP,1970-029C,1970-04-11," Cape Canaveral, United States", Saturn 5,NASA-Office of Manned Space Flight (United States)
7,Apollo 13 SIVB,1970-029B,1970-04-11," Cape Canaveral, United States", Saturn 5,National Aeronautics and Space Administration (United States)
8,Canyon 3,1970-069A,1970-09-01," Cape Canaveral, United States", Atlas-Agena D,Department of Defense-Department of the Air Force (United States)
9,Cosmos  318,1970-001A,1970-01-09," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
10,Cosmos  319,1970-004A,1970-01-15," Plesetsk, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
11,Cosmos  320,1970-005A,1970-01-16," Kapustin Yar, U.S.S.R", Kosmos-2I,Soviet Academy of Sciences (U.S.S.R)
12,Cosmos  321,1970-006A,1970-01-20," Plesetsk, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
13,Cosmos  322,1970-007A,1970-01-21," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
14,Cosmos  323,1970-010A,1970-02-10," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
15,Cosmos  324,1970-014A,1970-02-27," Plesetsk, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
16,Cosmos  325,1970-015A,1970-03-04," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
17,Cosmos  326,1970-018A,1970-03-13," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
18,Cosmos  327,1970-020A,1970-03-18," Plesetsk, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
19,Cosmos  328,1970-022A,1970-03-27," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
