,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Soyuz MS-03,2016-070A,2016-11-17," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz FG,Russian Space Agency (Russia); NASA-Office of Manned Space Flight (United States); European Space Agency (International)
1,3CAT-2,2016-051B,2016-08-15," Jiuquan, Peoples Republic of China", Long March 2D,Unknown (Peoples Republic of China)
2,AAUSAT 4,2016-025E,2016-04-25," Kourou, French Guiana", Soyuz,Aalborg University (Denmark)
3,ABS 2A,2016-038A,2016-06-15," Cape Canaveral, United States", Falcon 9 Full Thrust,Unknown (Peoples Republic of China)
4,AeroCube 8C,2016-067F,2016-11-11," Vandenberg AFB, United States", Atlas V 401,Unknown (United States)
5,AeroCube 8D,2016-067E,2016-11-11," Vandenberg AFB, United States", Atlas V 401,Unknown (United States)
6,AffieSat 4,1998067HP,2016-01-29," , ", ,Unknown (United States)
7,AIST 2D,2016-026B,2016-04-28," Vostochny Cosmodrome, Russia", Soyuz-2.1a,Unknown (Russia)
8,AL-1,2016-042F,2016-06-25," Wenchang, Peoples Republic of China", Long March 7,Unknown (Peoples Republic of China)
9,AlSat 1B,2016-059C,2016-09-26," Sriharikota, India", PSLV,Algerian Space Agency (Algeria)
10,AlSat 1N,2016-059G,2016-09-26," Sriharikota, India", PSLV,Algerian Space Agency (Algeria); United Kingdom Space Agency (UKSA) (United Kingdom)
11,AlSat 2B,2016-059D,2016-09-26," Sriharikota, India", PSLV,Algerian Space Agency (Algeria)
12,Arase (ERG),2016-080A,2016-12-20," Uchinoura Space Center, Japan", Epsilon,Japan Aerospace Exploration Agency (Japan)
13,ASAP-S,2016-025F,2016-04-25," Kourou, French Guiana", Soyuz,Unknown (Russia)
14,Astro-H,2016-012A,2016-02-17," Tanegashima, Japan", H-2A,Japan Aerospace Exploration Agency (Japan); National Aeronautics and Space Administration (United States)
15,AX-1,2016-042B,2016-06-25," Wenchang, Peoples Republic of China", Long March 7,Unknown (Peoples Republic of China)
16,Banxing-2,2016-057H,2016-09-15," Jiuquan, Peoples Republic of China", Long March 2F,Unknown (Peoples Republic of China)
17,BD 2-G7,2016-037A,2016-06-12," Xichang, Peoples Republic of China", Long March 3C,Unknown (Peoples Republic of China)
18,BeeSat 4,2016-040W,2016-06-22," Sriharikota, India", PSLV-XL,Technical University of Berlin (Germany)
19,Beidou IGSO 6,2016-021A,2016-03-29," Xichang, Peoples Republic of China", Long March 3A,Unknown (Peoples Republic of China)
20,Beidou M3-S,2016-006A,2016-02-01," Xichang, Peoples Republic of China", Long March 3C,Unknown (Peoples Republic of China)
21,Belintersat 1,2016-001A,2016-01-15," Xichang, Peoples Republic of China", Long March 3B,Unknown (Belarus)
22,Bevo 2,1998067HQ,2016-01-29," , ", ,Unknown (United States)
23,BIROS,2016-040F,2016-06-22," Sriharikota, India", PSLV-XL,"Deutsche Forschunganstalt fuer Luft- und Raumfahrt (DLR, nee DFVLR) (Germany)"
24,BRIsat,2016-039A,2016-06-18," Kourou, French Guiana", Ariane 5,Unknown (Indonesia)
25,BY70-1,2016-083C,2016-12-28," Taiyuan, Peoples Republic of China", Long March 2D,Chinese Research Institute of Space Technology (Peoples Republic of China)
26,CADRE,1998067HV,2016-05-16," , ", ,Unknown (United States)
