,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Sputnik  1,1957-001B,1957-10-04," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood),Unknown (U.S.S.R)
1,Sputnik  2,1957-002A,1957-11-03," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood),Unknown (U.S.S.R)
2,Sputnik 1 Rocket Body,1957-001A,1957-10-04," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood),Unknown (U.S.S.R)
3,Vanguard TV3,VAGT3,1957-12-06," Cape Canaveral, United States", Vanguard,Department of Defense-Department of the Navy (United States)
