,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,2001 Mars Odyssey,2001-013A,2001-04-07," Cape Canaveral, United States", Delta II 7425,NASA-Office of Space Science (United States)
1,Artemis,2001-029A,2001-07-12," Kourou, French Guiana", Ariane 5,European Space Agency (International)
2,Astra 2C,2001-025A,2001-06-16," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,unknown
3,BADR 2,2001-056C,2001-12-10," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit,Unknown (Pakistan)
4,BIRD 2,2001-049C,2001-10-22," Sriharikota, India", PSLV,Unknown (Federal Republic of Germany)
5,BSAT 2A,2001-011B,2001-03-08," Kourou, French Guiana", Ariane 5,Broadcast Satellite System Corp of Tokyo (Japan)
6,BSAT 2B,2001-029B,2001-07-12," Kourou, French Guiana", Ariane 5,Broadcast Satellite System Corp of Tokyo (Japan)
7,CORONAS-F,2001-032A,2001-07-31," Plesetsk, Russia", Tsiklon-3,Russian Space Agency (Russia)
8,Cosmos 2377,2001-022A,2001-05-29," Plesetsk, Russia", Soyuz-U,Unknown (Russia)
9,Cosmos 2378,2001-023A,2001-06-08," Plesetsk, Russia", Cosmos,Unknown (Russia)
10,Cosmos 2379,2001-037A,2001-08-24," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
11,Cosmos 2380,2001-053C,2001-12-01," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
12,Cosmos 2381,2001-053B,2001-12-01," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
13,Cosmos 2382,2001-053A,2001-12-01," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
14,Cosmos 2383,2001-057A,2001-12-21," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Tsiklon-2,Unknown (Russia)
15,Cosmos 2384,2001-058A,2001-12-28," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
16,Cosmos 2385,2001-058B,2001-12-28," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
17,Cosmos 2386,2001-058C,2001-12-28," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
18,Destiny,2001-006B,2001-02-07," Cape Canaveral, United States", Shuttle,National Aeronautics and Space Administration (United States)
19,DirecTV 4S,2001-052A,2001-11-27," Kourou, French Guiana", Ariane 44LP,Unknown (United States)
20,Eurobird 1,2001-011A,2001-03-08," Kourou, French Guiana", Ariane 5,European Telecommunications Satellite Consortium (International)
21,Eute 12 West B,2001-042A,2001-09-25," Kourou, French Guiana", Ariane 44P,European Telecommunications Satellite Consortium (International)
22,Genesis,2001-034A,2001-08-08," Cape Canaveral, United States", Delta II 7326,NASA-Office of Space Science (United States)
23,Genesis Sample Collection and Return Capsule,2001-034D,2001-08-08," Cape Canaveral, United States", Delta II 7326,National Aeronautics and Space Administration (United States)
24,GOES 12,2001-031A,2001-07-23," Cape Canaveral, United States", Atlas 2A,NOAA National Environmental Satellite Service (United States)
25,GOES-M,GOES-M,2001-07-22," Cape Canaveral, United States", Atlas I,NOAA National Environmental Satellite Service (United States); NASA-Office of Space Science Applications (United States)
26,Gonets 12,2001-058D,2001-12-28," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
27,Gonets 13,2001-058E,2001-12-28," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
28,Gonets 14,2001-058F,2001-12-28," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
29,GSAT 1,2001-015A,2001-04-18," Sriharikota, India", GSLV-MkI,Indian Space Research Organization (India)
30,ICO F2,2001-026A,2001-06-19," Cape Canaveral, United States", Atlas 2AS,Unknown (Brazil)
31,Intelsat 901,2001-024A,2001-06-09," Kourou, French Guiana", Ariane 44L,Unknown (International)
32,Intelsat 902,2001-039A,2001-08-30," Kourou, French Guiana", Ariane 4,Unknown (International)
33,Jason 1,2001-055A,2001-12-07," Vandenberg AFB, United States", Delta II,unknown
34,Kolibri,2001-051C,2001-11-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz FG,Unknown (Russia)
35,Kompass,2001-056B,2001-12-10," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit,Izmiran (Russia)
36,LRE,2001-038A,2001-08-29," Tanegashima, Japan", H-2A,Unknown (Japan)
37,Maroc-Tubsat,2001-056D,2001-12-10," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit,Unknown (Morocco)
38,Mars Surveyor 2001 Lander,MS2001L,2001-04-10," Cape Canaveral, United States", Delta II 7425,NASA-Office of Space Science (United States)
39,Mars Surveyor 2001 Rover,MS2001R,2001-04-05," Cape Canaveral, United States", Delta II 7425,National Aeronautics and Space Administration (United States)
40,Meteor-3M,2001-056A,2001-12-10," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit,National Aeronautics and Space Administration (United States); Russian Space Agency (Russia)
41,MILSTAR 4,2001-009A,2001-02-27," Cape Canaveral, United States", Titan IV-Centaur,Department of Defense (United States)
42,Molniya 3,2001-050A,2001-10-25," Plesetsk, Russia", Molniya-M,Unknown (Russia)
43,Molniya 3-K,2001-030A,2001-07-20," Plesetsk, Russia", Molniya-M,Unknown (Russia)
44,Navstar 50,2001-004A,2001-01-30," Cape Canaveral, United States", Delta II,Unknown (United States)
45,Odin,2001-007A,2001-02-20," Svobodniy, Russia"," ICBM RS-12M Topol or SS-25 Sickle, 3-stage SRM",Swedish Space Corporation (Sweden)
46,PAS 10,2001-019A,2001-05-15," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (United States); International Telecommunications Satellite Corporation (International)
47,PCSAT,2001-043C,2001-09-30," Kodiak Launch Complex, United States", Athena 1,Unknown (United States)
48,Picosat 9,2001-043B,2001-09-30," Kodiak Launch Complex, United States", Athena 1,Department of Defense (United States)
49,PROBA 1,2001-049B,2001-10-22," Sriharikota, India", PSLV,Unknown (Belgium)
50,Progress DC-1,2001-041A,2001-09-14," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (Russia)
51,Progress M-44,2001-008A,2001-02-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (Russia)
52,Progress M-45,2001-036A,2001-08-21," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (Russia)
53,Progress M1-5,2001-003A,2001-01-24," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (Russia)
54,Progress M1-6,2001-021A,2001-05-21," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-Fregat,Unknown (Russia)
55,Progress M1-7,2001-051A,2001-11-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz FG,Unknown (Russia)
56,Quickbird 2,2001-047A,2001-10-18," Vandenberg AFB, United States", Delta II,Unknown (United States)
57,Raduga 1-6,2001-045A,2001-10-06," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
58,Reflector,2001-056E,2001-12-10," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit,Unknown (United States)
59,Sapphire,2001-043D,2001-09-30," Kodiak Launch Complex, United States", Athena 1,Department of Defense (United States)
60,Shenzhou 2,2001-001A,2001-01-09," Jiuquan, Peoples Republic of China", Long March 2F,China National Space Administration (Peoples Republic of China)
61,Shenzhou 2 module,2001-001C,2001-01-09," Jiuquan, Peoples Republic of China", Long March 2F,China National Space Administration (Peoples Republic of China)
62,Sicral,2001-005A,2001-02-07," Kourou, French Guiana", Ariane 44L,Unknown (Italy)
63,SimpleSat 1,2001-035B,2001-08-10," Cape Canaveral, United States", Shuttle,National Aeronautics and Space Administration (United States)
64,Skynet 4F,2001-005B,2001-02-07," Kourou, French Guiana", Ariane 44L,Unknown (British Solomon Islands)
65,Soyuz-TM 32,2001-017A,2001-04-28," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,unknown
66,Soyuz-TM 33,2001-048A,2001-10-21," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (Russia)
67,Starshine 2,2001-054B,2001-12-16," Cape Canaveral, United States", Shuttle,Unknown (United States)
68,Starshine 3,2001-043A,2001-09-30," Kodiak Launch Complex, United States", Athena 1,Unknown (United States)
69,STS 100,2001-016A,2001-04-19," Cape Canaveral, United States", Shuttle,unknown
70,STS 102,2001-010A,2001-03-08," Cape Canaveral, United States", Shuttle,Unknown (United States)
71,STS 104,2001-028A,2001-07-12," Cape Canaveral, United States", Shuttle,Unknown (United States)
72,STS 105,2001-035A,2001-08-10," Cape Canaveral, United States", Shuttle,Unknown (United States)
73,STS 108,2001-054A,2001-12-05," Cape Canaveral, United States", Shuttle,Unknown (United States)
74,STS 98,2001-006A,2001-02-07," Cape Canaveral, United States", Shuttle,Unknown (United States)
75,TES,2001-049A,2001-10-22," Sriharikota, India", PSLV,Unknown (India)
76,TIMED,2001-055B,2001-12-07," Vandenberg AFB, United States", Delta II,NASA-Office of Space Science (United States)
77,Turksat 2,2001-002A,2001-01-10," Kourou, French Guiana", Ariane 4,Unknown (Turkey)
78,USA 158,2001-020A,2001-05-18," Cape Canaveral, United States", Delta II,Unknown (United States)
79,USA 159,2001-033A,2001-08-06," Cape Canaveral, United States", Titan 4B,Unknown (United States)
80,USA 160,2001-040A,2001-09-08," Vandenberg AFB, United States", Atlas 2AS,Unknown (United States)
81,USA 161,2001-044A,2001-10-05," Vandenberg AFB, United States", Titan 4B,Unknown (United States)
82,USA 162,2001-046A,2001-10-11," Cape Canaveral, United States", Atlas 2AS,Unknown (United States)
83,WMAP,2001-027A,2001-06-30," Cape Canaveral, United States", Delta II,NASA-Office of Space Science (United States)
84,XM 1,2001-018A,2001-05-08," Odyssey (Sea Launch Platform), ", Zenit,Unknown (United States)
85,XM 2,2001-012A,2001-03-18," Odyssey (Sea Launch Platform), ", Zenit 3SL,Unknown (United States)
