,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Astra 1A,1988-109B,1988-12-11," Kourou, French Guiana", Ariane 44LP,Societe Europeenne des Satellites (Luxembourg) (Luxembourg)
1,Buran,1988-100A,1988-11-15," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Energia,Unknown (U.S.S.R)
2,Cosmos 1908,1988-001A,1988-01-06," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
3,Cosmos 1909,1988-002A,1988-01-15," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
4,Cosmos 1910,1988-002B,1988-01-15," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
5,Cosmos 1911,1988-002C,1988-01-15," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
6,Cosmos 1912,1988-002D,1988-01-15," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
7,Cosmos 1913,1988-002E,1988-01-15," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
8,Cosmos 1914,1988-002F,1988-01-15," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
9,Cosmos 1915,1988-004A,1988-01-26," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
10,Cosmos 1916,1988-007A,1988-02-03," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
11,Cosmos 1917,1988-009A,1988-02-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
12,Cosmos 1918,1988-009B,1988-02-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
13,Cosmos 1919,1988-009C,1988-02-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
14,Cosmos 1920,1988-010A,1988-02-18," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
15,Cosmos 1921,1988-011A,1988-02-19," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
16,Cosmos 1922,1988-013A,1988-02-26," Plesetsk, U.S.S.R", Molniya-M,Unknown (U.S.S.R)
17,Cosmos 1923,1988-015A,1988-03-10," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
18,Cosmos 1924,1988-016A,1988-03-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
19,Cosmos 1925,1988-016B,1988-03-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
20,Cosmos 1926,1988-016C,1988-03-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
21,Cosmos 1927,1988-016D,1988-03-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
22,Cosmos 1928,1988-016E,1988-03-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
23,Cosmos 1929,1988-016F,1988-03-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
24,Cosmos 1930,1988-016G,1988-03-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
25,Cosmos 1931,1988-016H,1988-03-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
26,Cosmos 1932,1988-019A,1988-03-14," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon-2,Unknown (U.S.S.R)
27,Cosmos 1933,1988-020A,1988-03-15," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
28,Cosmos 1934,1988-023A,1988-03-22," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
29,Cosmos 1935,1988-025A,1988-03-24," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
30,Cosmos 1936,1988-027A,1988-03-30," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
31,Cosmos 1937,1988-029A,1988-04-05," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
32,Cosmos 1938,1988-030A,1988-04-11," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
33,Cosmos 1939,1988-032A,1988-04-20," Tyuratam (Baikonur Cosmodrome), U.S.S.R", SLV-3,Soviet Hydrometeorological Service (U.S.S.R)
34,Cosmos 1940,1988-034A,1988-04-26," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
35,Cosmos 1941,1988-035A,1988-04-27," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
36,Cosmos 1942,1988-037A,1988-05-12," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
37,Cosmos 1943,1988-039A,1988-05-15," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Zenit,Unknown (U.S.S.R)
38,Cosmos 1944,1988-041A,1988-05-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
39,Cosmos 1945,1988-042A,1988-05-19," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
40,Cosmos 1946,1988-043A,1988-05-21," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Scientific Production Association(Russia) (U.S.S.R)
41,Cosmos 1947,1988-043B,1988-05-21," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Scientific Production Association(Russia) (U.S.S.R)
42,Cosmos 1948,1988-043C,1988-05-21," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Scientific Production Association(Russia) (U.S.S.R)
43,Cosmos 1949,1988-045A,1988-05-28," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon-2,Unknown (U.S.S.R)
44,Cosmos 1950,1988-046A,1988-05-30," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
45,Cosmos 1951,1988-047A,1988-05-31," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
46,Cosmos 1952,1988-049A,1988-06-11," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
47,Cosmos 1953,1988-050A,1988-06-14," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
48,Cosmos 1954,1988-053A,1988-06-21," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
49,Cosmos 1955,1988-054A,1988-06-22," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
50,Cosmos 1956,1988-055A,1988-06-23," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
51,Cosmos 1957,1988-057A,1988-07-07," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
52,Cosmos 1958,1988-060A,1988-07-14," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
53,Cosmos 1959,1988-062A,1988-07-18," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
54,Cosmos 1960,1988-065A,1988-07-28," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
55,Cosmos 1961,1988-066A,1988-08-01," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
56,Cosmos 1962,1988-068A,1988-08-08," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
57,Cosmos 1963,1988-070A,1988-08-16," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
58,Cosmos 1964,1988-072A,1988-08-23," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
59,Cosmos 1965,1988-073A,1988-08-23," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
60,Cosmos 1966,1988-076A,1988-08-30," Plesetsk, U.S.S.R", Molniya-M,Unknown (U.S.S.R)
61,Cosmos 1967,1988-079A,1988-09-06," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
62,Cosmos 1968,1988-082A,1988-09-09," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
63,Cosmos 1969,1988-084A,1988-09-15," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
64,Cosmos 1970,1988-085A,1988-09-16," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Scientific Production Association(Russia) (U.S.S.R)
65,Cosmos 1971,1988-085B,1988-09-16," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Scientific Production Association(Russia) (U.S.S.R)
66,Cosmos 1972,1988-085C,1988-09-16," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Scientific Production Association(Russia) (U.S.S.R)
67,Cosmos 1973,1988-088A,1988-09-22," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
68,Cosmos 1974,1988-092A,1988-10-03," Plesetsk, U.S.S.R", Molniya-M,Unknown (U.S.S.R)
69,Cosmos 1975,1988-093A,1988-10-11," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
70,Cosmos 1976,1988-094A,1988-10-13," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
71,Cosmos 1977,1988-096A,1988-10-25," Plesetsk, U.S.S.R", Molniya-M,Unknown (U.S.S.R)
72,Cosmos 1978,1988-097A,1988-10-27," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
73,Cosmos 1979,1988-101A,1988-11-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
74,Cosmos 1980,1988-102A,1988-11-23," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Zenit,Unknown (U.S.S.R)
75,Cosmos 1981,1988-103A,1988-11-24," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
76,Cosmos 1982,1988-105A,1988-11-30," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
77,Cosmos 1983,1988-107A,1988-12-08," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
78,Cosmos 1984,1988-110A,1988-12-16," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
79,Cosmos 1985,1988-113A,1988-12-23," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
80,Cosmos 1986,1988-116A,1988-12-29," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
81,DMSP 5D-2/F09,1988-006A,1988-02-03," Vandenberg AFB, United States", Atlas E,Department of Defense-Department of the Air Force (United States)
82,Ekran 18,1988-036A,1988-05-06," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
83,Ekran 19,1988-108A,1988-12-10," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
84,EUTELSAT 5,1988-063B,1988-07-21," Kourou, French Guiana", Ariane 3,European Telecommunications Satellite Consortium (International)
