,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Akari,2006-005A,2006-02-21," Uchinoura Space Center, Japan", M-5,Japan Aerospace Exploration Agency (Japan)
1,ALOS,2006-002A,2006-01-24," Tanegashima, Japan", H-2A,Japan Aerospace Exploration Agency (Japan)
2,AMC 18,2006-054B,2006-12-08," Kourou, French Guiana", Ariane 5 ECA,Unknown (United States)
3,ANDE FCal,2006-055J,2006-12-10," Cape Canaveral, United States", Shuttle,United States Naval Academy (United States); United States Air Force Academy (United States); US Air Force Research Laboratory (United States); US Naval Research Laboratory (United States)
4,ANDE MAA,2006-055F,2006-12-10," Cape Canaveral, United States", Shuttle,US Naval Research Laboratory (United States); United States Naval Academy (United States); United States Air Force Academy (United States); US Air Force Research Laboratory (United States)
5,Arabsat 4A,2006-006A,2006-02-28," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-M,Arabsat Satellite Communications (International)
6,Arabsat 4B,2006-051A,2006-11-08," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-M,Arabsat Satellite Communications (International)
7,Astra 1KR,2006-012A,2006-04-20," Cape Canaveral, United States", Atlas V,European Space Agency (International)
8,CALIPSO,2006-016A,2006-04-28," Vandenberg AFB, United States", Delta II,unknown
9,Cloudsat,2006-016B,2006-04-28," Vandenberg AFB, United States", Delta II,Unknown (United States)
10,COROT,2006-063A,2006-12-27," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz 2,Centre National d'Etudes Spatiales (France); European Space Agency (International)
11,Cosmos 2420,2006-017A,2006-05-03," Plesetsk, Russia", Soyuz-U,Unknown (Russia)
12,Cosmos 2421,2006-026A,2006-06-25," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Tsiklon-2,Unknown (Russia)
13,Cosmos 2422,2006-030A,2006-07-21," Plesetsk, Russia", Molniya-M,Unknown (Russia)
14,Cosmos 2423,2006-039A,2006-09-14," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (Russia)
