,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,1984-009A,1984-009A,1984-01-31," Cape Canaveral, United States", Titan 34D,Unknown (United States)
1,1984-065A,1984-065A,1984-06-25," Vandenberg AFB, United States", Titan 34D,Unknown (United States)
2,1984-065C,1984-065C,1984-06-25," Vandenberg AFB, United States", Titan 34D,Unknown (United States)
3,AMPTE/CCE,1984-088A,1984-08-16," Cape Canaveral, United States", Delta,NASA-Office of Space Science Applications (United States)
4,AMPTE/IRM,1984-088B,1984-08-16," Cape Canaveral, United States", Delta 3924,Bundesministerium fuer Forschung und Tecnnologie (Federal Republic of Germany)
5,AMPTE/UKS,1984-088C,1984-08-16," Cape Canaveral, United States", Delta,"Science and Engineering Research Council, UK (United Kingdom)"
6,Anik D2,1984-113B,1984-11-09," Cape Canaveral, United States", Shuttle,"National Aeronautics and Space Administration (United States); Telesat Canada Ltd., Ottawa (Canada)"
7,BS-2A,1984-005A,1984-01-23," Tanegashima, Japan", N-2,National Space Development Agency (NASDA) (Japan)
8,Cosmos 1522,1984-001A,1984-01-05," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
9,Cosmos 1523,1984-001B,1984-01-05," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
10,Cosmos 1524,1984-001C,1984-01-05," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
11,Cosmos 1525,1984-001D,1984-01-05," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
12,Cosmos 1526,1984-001E,1984-01-05," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
13,Cosmos 1527,1984-001F,1984-01-05," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
14,Cosmos 1528,1984-001G,1984-01-05," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
15,Cosmos 1529,1984-001H,1984-01-05," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
16,Cosmos 1530,1984-002A,1984-01-11," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
17,Cosmos 1531,1984-003A,1984-01-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
18,Cosmos 1532,1984-004A,1984-01-13," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
19,Cosmos 1533,1984-006A,1984-01-26," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
20,Cosmos 1534,1984-007A,1984-01-26," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
21,Cosmos 1535,1984-010A,1984-02-02," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
22,Cosmos 1536,1984-013A,1984-02-08," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
23,Cosmos 1537,1984-017A,1984-02-16," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
24,Cosmos 1538,1984-019A,1984-02-21," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
25,Cosmos 1539,1984-020A,1984-02-28," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
26,Cosmos 1540,1984-022A,1984-03-02," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
27,Cosmos 1541,1984-024A,1984-03-06," Plesetsk, U.S.S.R", Molniya-M,Unknown (U.S.S.R)
28,Cosmos 1542,1984-025A,1984-03-07," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
29,Cosmos 1543,1984-026A,1984-03-10," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
30,Cosmos 1544,1984-027A,1984-03-15," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
31,Cosmos 1545,1984-030A,1984-03-21," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
32,Cosmos 1546,1984-031A,1984-03-29," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
33,Cosmos 1547,1984-033A,1984-04-05," Plesetsk, U.S.S.R", Molniya-M,Unknown (U.S.S.R)
34,Cosmos 1548,1984-036A,1984-04-10," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
35,Cosmos 1549,1984-040A,1984-04-19," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
36,Cosmos 1550,1984-043A,1984-05-11," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
37,Cosmos 1551,1984-044A,1984-05-11," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
38,Cosmos 1552,1984-045A,1984-05-14," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
39,Cosmos 1553,1984-046A,1984-05-17," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
40,Cosmos 1554,1984-047A,1984-05-19," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton,Scientific Production Association(Russia) (U.S.S.R)
41,Cosmos 1555,1984-047B,1984-05-19," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton,Scientific Production Association(Russia) (U.S.S.R)
42,Cosmos 1556,1984-047C,1984-05-19," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton,Scientific Production Association(Russia) (U.S.S.R)
43,Cosmos 1557,1984-048A,1984-05-22," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
44,Cosmos 1558,1984-050A,1984-05-25," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
45,Cosmos 1559,1984-052A,1984-05-28," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
46,Cosmos 1560,1984-052B,1984-05-28," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
47,Cosmos 1561,1984-052C,1984-05-28," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
48,Cosmos 1562,1984-052D,1984-05-28," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
49,Cosmos 1563,1984-052E,1984-05-28," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
50,Cosmos 1564,1984-052F,1984-05-28," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
51,Cosmos 1565,1984-052G,1984-05-28," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
52,Cosmos 1566,1984-052H,1984-05-28," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
53,Cosmos 1567,1984-053A,1984-05-30," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon-2,Unknown (U.S.S.R)
54,Cosmos 1568,1984-054A,1984-06-01," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
55,Cosmos 1569,1984-055A,1984-06-06," Plesetsk, U.S.S.R", Molniya-M,Unknown (U.S.S.R)
56,Cosmos 1570,1984-056A,1984-06-08," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
57,Cosmos 1571,1984-058A,1984-06-11," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
58,Cosmos 1572,1984-060A,1984-06-15," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
59,Cosmos 1573,1984-061A,1984-06-19," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
60,Cosmos 1574,1984-062A,1984-06-21," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
61,Cosmos 1575,1984-064A,1984-06-22," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
62,Cosmos 1576,1984-066A,1984-06-26," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
63,Cosmos 1577,1984-067A,1984-06-27," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
