,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Bion  4,1977-074A,1977-08-03," Plesetsk, U.S.S.R", Soyuz,"Institute of Biomedical Problems, Moscow (U.S.S.R); National Aeronautics and Space Administration (United States)"
1,Canyon 7,1977-038A,1977-05-23," Cape Canaveral, United States", Atlas-Agena D,Department of Defense-Department of the Air Force (United States)
2,Cosmos  888,1977-001A,1977-01-06," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
3,Cosmos  889,1977-003A,1977-01-20," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
4,Cosmos  890,1977-004A,1977-01-20," Plesetsk, U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
5,Cosmos  891,1977-006A,1977-02-02," Plesetsk, U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
6,Cosmos  892,1977-009A,1977-02-09," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
7,Cosmos  893,1977-011A,1977-02-15," Plesetsk, U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
8,Cosmos  894,1977-013A,1977-02-21," Plesetsk, U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
9,Cosmos  895,1977-015A,1977-02-27," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
10,Cosmos  896,1977-016A,1977-03-03," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
11,Cosmos  897,1977-017A,1977-03-10," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
12,Cosmos  898,1977-020A,1977-03-17," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
13,Cosmos  899,1977-022A,1977-03-25," Plesetsk, U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
14,Cosmos  900,1977-023A,1977-03-30," Plesetsk, U.S.S.R", Kosmos-3,Soviet Academy of Sciences (U.S.S.R)
15,Cosmos  901,1977-025A,1977-04-05," Plesetsk, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
16,Cosmos  902,1977-026A,1977-04-07," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
17,Cosmos  903,1977-027A,1977-04-11," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
18,Cosmos  904,1977-028A,1977-04-20," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
19,Cosmos  905,1977-030A,1977-04-26," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
20,Cosmos  906,1977-031A,1977-04-27," Kapustin Yar, U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
21,Cosmos  907,1977-033A,1977-05-05," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
22,Cosmos  908,1977-035A,1977-05-17," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
23,Cosmos  909,1977-036A,1977-05-19," Plesetsk, U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
24,Cosmos  910,1977-037A,1977-05-23," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon,Unknown (U.S.S.R)
25,Cosmos  911,1977-039A,1977-05-25," Plesetsk, U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
26,Cosmos  912,1977-040A,1977-05-26," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
27,Cosmos  913,1977-042A,1977-05-31," Plesetsk, U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
28,Cosmos  914,1977-043A,1977-05-31," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
29,Cosmos  915,1977-045A,1977-06-08," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
30,Cosmos  916,1977-046A,1977-06-10," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
31,Cosmos  917,1977-047A,1977-06-16," Plesetsk, U.S.S.R", Soyuz,Unknown (U.S.S.R)
32,Cosmos  918,1977-050A,1977-06-17," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon,Unknown (U.S.S.R)
