,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Apex,1994-046A,1994-08-03," Edwards Air Force Base, United States", Pegasus,Unknown (United States)
1,Apstar A1,1994-043A,1994-07-21," Xichang, Peoples Republic of China", Long March 3,APT Satellite Company Ltd (Peoples Republic of China)
2,Astra 1D,1994-070A,1994-11-01," Kourou, French Guiana", Ariane 42P,Societe Europeenne des Satellites (Luxembourg) (Luxembourg)
3,Atlas 3,ATLAS3,1994-11-03," Cape Canaveral, United States", Shuttle,NASA-Office of Space Science Applications (United States)
4,Brazilsat B-1,1994-049A,1994-08-11," Kourou, French Guiana", Ariane 44LP,Embratel (Brazil)
5,Bremsat,1994-006H,1994-02-03," Cape Canaveral, United States", Shuttle,German Space Agency (Federal Republic of Germany)
6,BS-3N,1994-040B,1994-07-08," Kourou, French Guiana", Ariane 44L,National Space Development Agency (NASDA) (Japan)
7,Clementine,1994-004A,1994-01-25," Vandenberg AFB, United States", Titan II-G,NASA-Office of Space Science Applications (United States); Department of Defense-Department of the Navy (United States)
8,Clementine ISAS,1994-004C,1994-01-25," Vandenberg AFB, United States", Titan II-G,NASA-Office of Space Science Applications (United States); Department of Defense-Department of the Navy (United States)
9,CORONAS-I,1994-014A,1994-03-02," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
10,Cosmos 2268,1994-011A,1994-02-12," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
11,Cosmos 2269,1994-011B,1994-02-12," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
12,Cosmos 2270,1994-011C,1994-02-12," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
13,Cosmos 2271,1994-011D,1994-02-12," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
14,Cosmos 2272,1994-011E,1994-02-12," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
15,Cosmos 2273,1994-011F,1994-02-12," Plesetsk, Russia", Tsiklon-3,Unknown (Russia)
16,Cosmos 2274,1994-018A,1994-04-13," Plesetsk, Russia", Soyuz-U,Unknown (Russia)
17,Cosmos 2275,1994-021A,1994-04-11," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Scientific Production Association(Russia) (Russia)
18,Cosmos 2276,1994-021B,1994-04-11," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Scientific Production Association(Russia) (Russia)
19,Cosmos 2277,1994-021C,1994-04-11," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Scientific Production Association(Russia) (Russia)
20,Cosmos 2278,1994-023A,1994-04-23," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit 2,Unknown (Russia)
21,Cosmos 2279,1994-024A,1994-04-26," Plesetsk, Russia", Cosmos,Unknown (Russia)
22,Cosmos 2280,1994-025A,1994-04-28," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U2,Unknown (Russia)
23,Cosmos 2281,1994-032A,1994-06-07," Plesetsk, Russia", Soyuz-U,Unknown (Russia)
24,Cosmos 2282,1994-038A,1994-07-06," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Unknown (U.S.S.R)
25,Cosmos 2283,1994-042A,1994-07-20," Plesetsk, Russia", Soyuz-U,Unknown (Russia)
26,Cosmos 2284,1994-044A,1994-07-29," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (U.S.S.R)
27,Cosmos 2285,1994-045A,1994-08-02," Plesetsk, U.S.S.R", Cosmos,Unknown (U.S.S.R)
28,Cosmos 2286,1994-048A,1994-08-05," Plesetsk, Russia", Molniya-M,Russian Space Agency (U.S.S.R)
29,Cosmos 2287,1994-050A,1994-08-11," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Scientific Production Association(Russia) (Russia)
30,Cosmos 2288,1994-050B,1994-08-11," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Scientific Production Association(Russia) (Russia)
31,Cosmos 2289,1994-050C,1994-08-11," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Scientific Production Association(Russia) (Russia)
32,Cosmos 2290,1994-053A,1994-08-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit,Unknown (United States)
33,Cosmos 2291,1994-060A,1994-09-21," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Russian Space Agency (Russia)
34,Cosmos 2292,1994-061A,1994-09-27," Plesetsk, Russia", Cosmos,Unknown (Russia)
35,Cosmos 2293,1994-072A,1994-11-02," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Tsiklon-2,Unknown (Russia)
36,Cosmos 2294,1994-076A,1994-11-20," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Scientific Production Association(Russia) (Russia)
37,Cosmos 2295,1994-076B,1994-11-20," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Scientific Production Association(Russia) (Russia)
38,Cosmos 2296,1994-076C,1994-11-20," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Scientific Production Association(Russia) (Russia)
39,Cosmos 2297,1994-077A,1994-11-24," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit 2,Unknown (U.S.S.R)
40,Cosmos 2298,1994-083A,1994-12-20," Plesetsk, Russia", Cosmos,Unknown (U.S.S.R)
41,Cosmos 2299,1994-086A,1994-12-26," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
42,Cosmos 2300,1994-086B,1994-12-26," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
43,Cosmos 2301,1994-086C,1994-12-26," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
44,Cosmos 2302,1994-086D,1994-12-26," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
45,Cosmos 2303,1994-086E,1994-12-26," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
46,Cosmos 2304,1994-086F,1994-12-26," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
47,Cosmos 2305,1994-088A,1994-12-29," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U2,Unknown (U.S.S.R)
48,CRISTA/SPAS,1994-073B,1994-11-04," Cape Canaveral, United States", Shuttle,NASA-Office of Space Science Applications (United States); German Space Agency (Federal Republic of Germany)
49,DARPASAT,1994-017B,1994-03-13," Vandenberg AFB, United States", Taurus,Department of Defense-Department of the Air Force (United States)
50,DFH 3,1994-080A,1994-11-29," Xichang, Peoples Republic of China", Long March 3A,Unknown (Peoples Republic of China)
51,DFH-3 MFS,1994-010B,1994-02-08," Xichang, Peoples Republic of China", Long March 3A,Unknown (Peoples Republic of China)
52,DirecTV 2,1994-047A,1994-08-03," Cape Canaveral, United States", Atlas 2AS,Unknown (United States)
53,DMSP 5D-2/F12,1994-057A,1994-08-29," Vandenberg AFB, United States", Atlas E,Department of Defense-Department of the Air Force (United States)
54,Electro,1994-069A,1994-10-31," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Soviet Hydrometeorological Service (Russia)
55,ETS 6,1994-056A,1994-08-28," Tanegashima, Japan", H-2,National Space Development Agency (NASDA) (Japan)
56,Express 1,1994-067A,1994-10-13," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Russian Satellite Communications Company (Russia)
57,FAISAT,1995-002C,1994-01-24," Plesetsk, U.S.S.R", Cosmos,"Final Analysis, Inc (United States); Polyot Design Bureau of Russia (Russia)"
58,Foton  9,1994-033A,1994-06-14," Plesetsk, Russia", Soyuz,Unknown (Russia)
59,FSW 2,1994-037A,1994-07-03," Jiuquan, Peoples Republic of China", Long March 2D,Unknown (Peoples Republic of China)
60,Galaxy 1R,1994-013A,1994-02-19," Cape Canaveral, United States", Delta II 7925,Pan American Satellite (United States)
61,Gals 1,1994-002A,1994-01-20," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Unknown (Russia)
62,GEO-IK,1994-078A,1994-11-24," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
63,GMS 6,GMS6,1994-01-01," , ", ,National Space Development Agency (NASDA) (Japan)
64,GOES  8,1994-022A,1994-04-13," Cape Canaveral, United States", Atlas-Centaur,NASA-Office of Space Science Applications (United States); NOAA National Environmental Satellite Service (United States)
65,Gorizont 30,1994-030A,1994-05-20," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
66,IML 2,IMGLAB2,1994-07-08," Cape Canaveral, United States", Shuttle,"European Space Agency (International); Canadian Space Agency (Canada); Deutsche Forschunganstalt fuer Luft- und Raumfahrt (DLR, nee DFVLR) (Federal Republic of Germany); National Aeronautics and Space Administration (United States); Centre National d'Etudes Spatiales (France); National Space Development Agency (NASDA) (Japan)"
67,INTELSAT 702,1994-034A,1994-06-17," Kourou, French Guiana", Ariane 44LP,International Telecommunications Satellite Corporation (International)
68,INTELSAT 703,1994-064A,1994-10-06," Cape Canaveral, United States", Atlas-2 AS,International Telecommunications Satellite Corporation (International)
69,IRS-P2,1994-068A,1994-10-15," Sriharikota, India", PSLV,Indian Space Research Organization (India)
70,Luch,1994-082A,1994-12-16," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Unknown (Russia)
71,Mars 94 (Cancelled),MARS94,1994-09-21," , ", ,NASA-Office of Space Science (United States); Institut Kosmicheskich Issledovaniy(Inst. of Cosmophysical Research) (U.S.S.R)
72,Meteor 3-6,1994-003A,1994-01-25," Plesetsk, Russia", Cyclone,Russian Space Agency (Russia)
73,MILSTAR 1,1994-009A,1994-02-07," Cape Canaveral, United States", Titan IV,Department of Defense-Department of the Air Force (United States)
74,Molniya 1-88,1994-081A,1994-12-14," Plesetsk, Russia", Molniya,Unknown (Russia)
75,Molniya 3-46,1994-051A,1994-08-23," Plesetsk, U.S.S.R", Molniya,Unknown (U.S.S.R)
76,MSTI 2,1994-028A,1994-05-09," Vandenberg AFB, United States", Scout,Department of Defense-Department of the Air Force (United States)
77,Myojo,1994-007B,1994-02-03," Tanegashima, Japan", H-2,National Space Development Agency (NASDA) (Japan)
78,Nadezhda 4,1994-041A,1994-07-14," Plesetsk, Russia", Cosmos,Unknown (Russia)
79,Navstar 2A-15,1994-016A,1994-03-10," Cape Canaveral, United States", Delta II 7925,Department of Defense-Department of the Air Force (United States)
80,NOAA 14,1994-089A,1994-12-30," Vandenberg AFB, United States", Atlas E,NASA-Office of Space Science Applications (United States); NOAA National Environmental Satellite Service (United States)
81,ODERACS-A,1994-006B,1994-02-03," Cape Canaveral, United States", Shuttle,National Aeronautics and Space Administration (United States)
82,ODERACS-B,1994-006C,1994-02-03," Cape Canaveral, United States", Shuttle,National Aeronautics and Space Administration (United States)
83,ODERACS-C,1994-006D,1994-02-03," Cape Canaveral, United States", Shuttle,National Aeronautics and Space Administration (United States)
84,ODERACS-D,1994-006E,1994-02-03," Cape Canaveral, United States", Shuttle,National Aeronautics and Space Administration (United States)
85,ODERACS-E,1994-006F,1994-02-03," Cape Canaveral, United States", Shuttle,National Aeronautics and Space Administration (United States)
86,ODERACS-F,1994-006G,1994-02-03," Cape Canaveral, United States", Shuttle,National Aeronautics and Space Administration (United States)
87,Okean O1,1994-066A,1994-10-11," Plesetsk, Russia", Tsiklon,Russian Space Agency (Russia)
88,OPTUS B3,1994-055A,1994-08-27," Xichang, Peoples Republic of China", Long March 2E,Optus Communications Party Ltd. (Australia)
89,Orion 1,1994-079A,1994-11-29," Cape Canaveral, United States", Atlas,Unknown (Federal Republic of Germany)
90,PANAMSAT 2,1994-040A,1994-07-08," Kourou, French Guiana", Ariane 44L,Pan American Satellite (United States); International Telecommunications Satellite Corporation (International)
91,Progress M-21,1994-005A,1994-01-28," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz,Unknown (Russia)
92,Progress M-22,1994-019A,1994-03-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz,Unknown (Russia)
93,Progress M-23,1994-031A,1994-05-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz,Unknown (Russia)
