,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Amazonas,2004-031A,2004-08-04," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-M,Unknown (Spain)
1,AMC 10,2004-003A,2004-02-05," Cape Canaveral, United States", Atlas 2AS,SES (United States)
2,AMC 11,2004-017A,2004-05-19," Cape Canaveral, United States", Atlas 2AS,Unknown (United States)
3,AMC 15,2004-041A,2004-10-14," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-M,Unknown (United States)
4,AMC 16,2004-048A,2004-12-17," Cape Canaveral, United States", Atlas V,Unknown (United States)
5,Amsat,2004-025K,2004-06-29," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Dnepr,Unknown (United States)
6,Anik F2,2004-027A,2004-07-18," Kourou, French Guiana", Ariane 5,unknown
7,Aura,2004-026A,2004-07-15," Vandenberg AFB, United States", Delta II,National Aeronautics and Space Administration (United States)
8,Celestis 04/SL-24,2004-025B,2004-06-29," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Dnepr,unknown
9,Cosmos 2405,2004-020A,2004-05-28," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Tsiklon-2,Unknown (Russia)
10,Cosmos 2406,2004-021A,2004-06-10," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit 2,Unknown (Russia)
11,Cosmos 2407,2004-028A,2004-07-22," Plesetsk, Russia", Cosmos,Unknown (Russia)
12,Cosmos 2408,2004-037A,2004-09-23," Plesetsk, Russia", Cosmos,Unknown (Russia)
13,Cosmos 2409,2004-037B,2004-09-23," Plesetsk, Russia", Cosmos,Unknown (Russia)
14,Cosmos 2410,2004-038A,2004-09-24," Plesetsk, Russia", Soyuz-U,Unknown (Russia)
15,Cosmos 2411,2004-053B,2004-12-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
16,Cosmos 2412,2004-053C,2004-12-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
17,Cosmos 2413,2004-053A,2004-12-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
18,DEMETER,2004-025C,2004-06-29," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Dnepr,Centre National d'Etudes Spatiales (France)
19,Demosat,2004-050A,2004-12-21," Cape Canaveral, United States", Delta IV,Unknown (United States)
20,DirecTV 7S,2004-016A,2004-05-04," Odyssey (Sea Launch Platform), ", Zenit 3SL,Unknown (United States)
21,Double Star 2,2004-029A,2004-07-25," Taiyuan, Peoples Republic of China", Long March 2C,European Space Agency (International); China National Space Administration (Peoples Republic of China)
22,Edusat,2004-036A,2004-09-20," Sriharikota, India", GSLV-MkI,Indian Space Research Organization (India)
23,ESSAIM 1,2004-049C,2004-12-18," Kourou, French Guiana", Ariane 5G,Unknown (France)
24,ESSAIM 2,2004-049D,2004-12-18," Kourou, French Guiana", Ariane 5G,Unknown (France)
25,ESSAIM 3,2004-049E,2004-12-18," Kourou, French Guiana", Ariane 5G,Unknown (France)
26,ESSAIM 4,2004-049F,2004-12-18," Kourou, French Guiana", Ariane 5G,Unknown (France)
27,Estrela Do Sul,2004-001A,2004-01-11," Odyssey (Sea Launch Platform), ", Zenit 3SL,Unknown (Brazil)
28,Eutelsat W3A,2004-008A,2004-03-15," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-M,European Telecommunications Satellite Consortium (International)
29,Express AM1,2004-043A,2004-10-29," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-M,Russian Satellite Communications Company (Russia)
30,Express AM11,2004-015A,2004-04-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Russian Satellite Communications Company (Russia)
31,Fengyun 2C,2004-042A,2004-10-19," Xichang, Peoples Republic of China", Long March 3A,Unknown (Peoples Republic of China)
32,FSW 3-3,2004-039A,2004-09-27," Jiuquan, Peoples Republic of China", Long March 2D,Unknown (Peoples Republic of China)
33,FSW-3 2,2004-033A,2004-08-29," Jiuquan, Peoples Republic of China", Long March 2C,Unknown (Peoples Republic of China)
34,Gravity Probe B,2004-014A,2004-04-20," Vandenberg AFB, United States", Delta II,National Aeronautics and Space Administration (United States)
35,Helios 2A,2004-049A,2004-12-18," Kourou, French Guiana", Ariane 5G,Unknown (France)
36,Huygens,1997-061C,2004-12-25," Cape Canaveral, United States", Titan IV-Centaur,European Space Agency (International); National Aeronautics and Space Administration (United States)
37,Intelsat 10-02,2004-022A,2004-06-16," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-M,International Telecommunications Satellite Corporation (International)
38,Latinsat-C,2004-025G,2004-06-29," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Dnepr,Unknown (Argentina)
39,Latinsat-D,2004-025A,2004-06-29," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Dnepr,Unknown (Argentina)
40,MBSat,2004-007A,2004-03-13," Cape Canaveral, United States", Atlas 3,Unknown (Japan); Unknown (South Korea)
41,MESSENGER,2004-030A,2004-08-03," Cape Canaveral, United States", Delta II 7925,National Aeronautics and Space Administration (United States)
42,Mikron,2004-052C,2004-12-24," Plesetsk, Russia", Tsiklon-3,Unknown (Russia); Unknown (Ukraine)
43,Molniya 1-T,2004-005A,2004-02-18," Plesetsk, Russia", Molniya-M,Unknown (Russia)
44,Nanosat 1,2004-049B,2004-12-18," Kourou, French Guiana", Ariane 5G,Unknown (Spain)
45,Navstar 54,2004-009A,2004-03-20," Cape Canaveral, United States", Delta II,Unknown (United States)
46,Navstar 55,2004-023A,2004-06-23," Cape Canaveral, United States", Delta II,Unknown (United States)
47,Navstar 56,2004-045A,2004-11-06," Cape Canaveral, United States", Delta II,Unknown (United States)
