,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,AAU Cubesat,2003-031G,2003-06-30," Plesetsk, Russia", Rokot,Unknown (Denmark)
1,AMC 9,2003-024A,2003-06-06," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (United States)
2,Amos 2,2003-059A,2003-12-27," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-Fregat,Unknown (Israel)
3,AsiaSat 4,2003-014A,2003-04-12," Cape Canaveral, United States", Atlas 3B,Unknown (United States)
4,Beagle 2,2003-022C,2003-06-02," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz,Unknown (United Kingdom)
5,Beidou 1C,2003-021A,2003-05-24," Xichang, Peoples Republic of China", Long March 3A,China National Space Administration (Peoples Republic of China)
6,Bilsat 1,2003-042E,2003-09-27," Plesetsk, Russia", Kosmos-3M,Unknown (Turkey)
7,BNSCSAT,2003-042D,2003-09-27," Plesetsk, Russia", Kosmos-3M,Unknown (Brazil)
8,BSAT 2C,2003-028A,2003-06-11," Kourou, French Guiana", Ariane 5,Broadcast Satellite System Corp of Tokyo (Japan)
9,CANX 1,2003-031H,2003-06-30," Plesetsk, Russia", Rokot,Canadian Space Agency (Canada)
10,CBERS,2003-049A,2003-10-21," Taiyuan, Peoples Republic of China", Long March 4B,Unknown (Brazil)
11,CHIPS,2003-002B,2003-01-13," Vandenberg AFB, United States", Delta II,National Aeronautics and Space Administration (United States)
12,Columbus Orbital Facility,COLMBUS,2003-01-01," Cape Canaveral, United States", Shuttle,European Space Agency (International)
13,Coriolis,2003-001A,2003-01-06," Vandenberg AFB, United States", Titan II,Department of Defense (United States)
14,Cosmos 2397,2003-015A,2003-04-24," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Unknown (Russia)
15,Cosmos 2398,2003-023A,2003-06-04," Plesetsk, Russia", Cosmos,Unknown (Russia)
16,Cosmos 2399,2003-035A,2003-08-12," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,unknown
17,Cosmos 2400,2003-037A,2003-08-19," Plesetsk, Russia", Cosmos,Unknown (Russia)
18,Cosmos 2401,2003-037B,2003-08-19," Plesetsk, Russia", Cosmos,Unknown (Russia)
19,Cosmos 2402,2003-056B,2003-12-10," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Unknown (Russia)
20,Cosmos 2403,2003-056C,2003-12-10," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Unknown (Russia)
21,Cosmos 2404,2003-056A,2003-12-10," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Unknown (Russia)
22,Cubesat XI-IV,2003-031J,2003-06-30," Plesetsk, Russia", Rokot,Unknown (Japan)
23,Cute 1,2003-031E,2003-06-30," Plesetsk, Russia", Rokot,Tokyo Institute of Technology (Japan)
24,DMSP 5D-3/F16,2003-048A,2003-10-18," Vandenberg AFB, United States", Titan II,Unknown (United States)
25,Double Star 1,2003-061A,2003-12-29," Xichang, Peoples Republic of China", Long March 2C/SM,China National Space Administration (Peoples Republic of China); European Space Agency (International)
26,Dtusat,2003-031C,2003-06-30," Plesetsk, Russia", Rokot,Unknown (Denmark)
27,Echostar 9,2003-034A,2003-08-08," Odyssey (Sea Launch Platform), ", Zenit 3SL,International Telecommunications Satellite Corporation (International)
28,Eurobird 3,2003-043A,2003-09-27," Kourou, French Guiana", Ariane 5,European Telecommunications Satellite Consortium (International)
29,Express AM22,2003-060A,2003-12-28," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Russian Satellite Communications Company (Russia)
30,FSW-3 1,2003-051C,2003-11-03," Jiuquan, Peoples Republic of China", Long March 2D,Unknown (Peoples Republic of China)
31,Galaxy 12,2003-013B,2003-04-09," Kourou, French Guiana", Ariane 5,Unknown (United States)
32,GALEX,2003-017A,2003-04-28," Cape Canaveral, United States", Pegasus XL,NASA-Office of Space Science (United States)
33,Gruzomaket,2003-055A,2003-12-05," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Strela (modified SS-19 ICBM),Unknown (Russia)
34,GSAT 2,2003-018A,2003-05-08," Sriharikota, India", GSLV-MkI,Indian Space Research Organization (India)
35,Hayabusa,2003-019A,2003-05-09," Uchinoura Space Center, Japan", M-5,"Institute of Space and Aeronautical Science, U of Tokyo (Japan); National Aeronautics and Space Administration (United States)"
36,Hellas-Sat,2003-020A,2003-05-13," Cape Canaveral, United States", Atlas V,Hellas-Sat Consortium (Greece); Hellas-Sat Consortium (Cyprus)
37,Horizons 1,2003-044A,2003-10-01," Odyssey (Sea Launch Platform), ", Zenit 3,PANAMSAT - JSAT (United States); PANAMSAT - JSAT (Japan)
38,ICESat,2003-002A,2003-01-13," Vandenberg AFB, United States", Delta II,National Aeronautics and Space Administration (United States)
39,IGS 1A,2003-009A,2003-03-28," Tanegashima, Japan", H-2A,Unknown (Japan)
40,IGS 1B,2003-009B,2003-03-28," Tanegashima, Japan", H-2A,Unknown (Japan)
41,Innovation 1,2003-049B,2003-10-21," Taiyuan, Peoples Republic of China", Long March 4B,Unknown (Peoples Republic of China)
42,Insat 3A,2003-013A,2003-04-09," Kourou, French Guiana", Ariane 5,Indian Space Research Organization (India)
43,INSAT 3E,2003-043E,2003-09-27," Kourou, French Guiana", Ariane 5,Unknown (India)
44,Intelsat 907,2003-007A,2003-02-15," Kourou, French Guiana", Ariane 44L,International Telecommunications Satellite Corporation (International)
45,IRS P6,2003-046A,2003-10-17," Sriharikota, India", PSLV,Unknown (India)
46,Kaistsat 4,2003-042G,2003-09-27," Plesetsk, Russia", Kosmos-3M,Unknown (South Korea)
47,Larets,2003-042F,2003-09-27," Plesetsk, Russia", Kosmos-3M,Unknown (Russia)
48,Mars Express,2003-022A,2003-06-02," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz,unknown
49,MILSTAR 6,2003-012A,2003-04-08," Cape Canaveral, United States", Titan IV,Department of Defense (United States)
50,Mimosa,2003-031B,2003-06-30," Plesetsk, Russia", Rokot,Czechoslovakia Academy of Sciences (Czech Republic)
51,Molniya 1-92,2003-011A,2003-04-02," Plesetsk, Russia", Molniya-M,Unknown (Russia)
52,Molniya 3-53,2003-029A,2003-06-19," Plesetsk, Russia", Molniya-M,Unknown (Russia)
53,Monitor-E/Breeze,2003-031A,2003-06-30," Plesetsk, Russia", Rokot,Unknown (Russia)
54,MOST,2003-031D,2003-06-30," Plesetsk, Russia", Rokot,Canadian Space Agency (Canada)
55,Mozhayets 4,2003-042A,2003-09-27," Plesetsk, Russia", Kosmos-3M,Unknown (Russia)
56,Navstar 51,2003-005A,2003-01-29," Cape Canaveral, United States", Delta II,Department of Defense (United States)
57,Navstar 52,2003-010A,2003-03-31," Cape Canaveral, United States", Delta II,Unknown (United States)
58,Navstar 53,2003-058A,2003-12-21," Cape Canaveral, United States", Delta II,Unknown (United States)
