,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Aerosat-A,AERST-A,1978-02-01," Cape Canaveral, United States", Delta,European Space Agency (International); Unknown (Canada); Department of Transportation-Federal Aviation Administration (United States)
1,Aerosat-B,AERST-B,1978-08-01," Cape Canaveral, United States", Delta,Department of Transportation-Federal Aviation Administration (United States); European Space Agency (International)
2,Anik B1,1978-116A,1978-12-16," Cape Canaveral, United States", Delta,"Telesat Canada Ltd., Ottawa (Canada); National Aeronautics and Space Administration (United States)"
3,CAMEO,1978-098B,1978-10-24," Vandenberg AFB, United States", Delta,NASA-Office of Space Science (United States)
4,Chalet 1,1978-058A,1978-06-10," Cape Canaveral, United States", Titan III-C,Department of Defense-Department of the Air Force (United States)
5,COMSTAR 3,1978-068A,1978-06-29," Cape Canaveral, United States", Atlas-Centaur,Communications Satellite Corporation (United States)
6,Cosmos  974,1978-001A,1978-01-06," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
7,Cosmos  975,1978-004A,1978-01-10," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 1st Generation Upper Stage,Unknown (U.S.S.R)
8,Cosmos  976,1978-005A,1978-01-10," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
9,Cosmos  977,1978-005B,1978-01-10," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
10,Cosmos  978,1978-005C,1978-01-10," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
11,Cosmos  979,1978-005D,1978-01-10," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
12,Cosmos  980,1978-005E,1978-01-10," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
13,Cosmos  981,1978-005F,1978-01-10," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
14,Cosmos  982,1978-005G,1978-01-10," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
15,Cosmos  983,1978-005H,1978-01-10," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
16,Cosmos  984,1978-006A,1978-01-13," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
17,Cosmos  985,1978-007A,1978-01-17," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
18,Cosmos  986,1978-010A,1978-01-24," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
19,Cosmos  987,1978-013A,1978-01-31," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
20,Cosmos  988,1978-015A,1978-02-08," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
21,Cosmos  989,1978-017A,1978-02-14," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
22,Cosmos  990,1978-019A,1978-02-17," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
23,Cosmos  991,1978-022A,1978-02-28," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
24,Cosmos  992,1978-025A,1978-03-04," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
25,Cosmos  993,1978-027A,1978-03-10," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
26,Cosmos  994,1978-028A,1978-03-15," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
27,Cosmos  995,1978-030A,1978-03-17," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
28,Cosmos  996,1978-031A,1978-03-28," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
29,Cosmos  997,1978-032A,1978-03-30," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton Booster Plus Upper Stage,Unknown (U.S.S.R)
