,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,1963-001X,NNN6301,1963-02-28," Vandenberg AFB, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
1,1963-003X,NNN6302,1963-04-05," Point Arguello, United States", Scout,Department of Defense-Department of the Air Force (United States)
2,1963-004X,NNN6303,1963-04-26," Point Arguello, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
3,1963-005A,1963-005A,1963-02-19," Point Arguello, United States", Scout,Department of Defense-Department of the Air Force (United States)
4,1963-005X,NNN6304,1963-04-26," Vandenberg AFB, United States", Scout,Department of Defense-Department of the Air Force (United States)
5,1963-007X,NNN6305,1963-09-27," Point Arguello, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
6,1963-008X,NNN6306,1963-11-09," Vandenberg AFB, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
7,1963-021E,1963-021E,1963-06-15," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
8,1963-035B,1963-035B,1963-08-29," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
9,1963-038C,1963-038C,1963-09-28," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Navy (United States)
10,1963-041B,1963-041B,1963-10-25," Vandenberg AFB, United States", Atlas-Agena D,Department of Defense-Department of the Air Force (United States)
11,1963-049C,1963-049C,1963-12-05," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Navy (United States)
12,AD-A,1963-053A,1963-12-19," Point Arguello, United States", Scout,NASA-Office of Space Science Applications (United States)
13,AE-A,1963-009A,1963-04-03," Cape Canaveral, United States", Thor-Delta,NASA-Office of Space Science Applications (United States)
14,Atlas Centaur 2,1963-047A,1963-11-27," Cape Canaveral, United States", Atlas-Centaur,NASA-Office of Manned Space Flight (United States)
15,Cosmos   13,1963-006A,1963-03-21," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
16,Cosmos   14,1963-010A,1963-04-13," Kapustin Yar, U.S.S.R", Kosmos-2I,Soviet Academy of Sciences (U.S.S.R)
17,Cosmos   15,1963-011A,1963-04-22," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
18,Cosmos   16,1963-012A,1963-04-28," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
19,Cosmos   17,1963-017A,1963-05-22," Kapustin Yar, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
20,Cosmos   18,1963-018A,1963-05-24," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
21,Cosmos   19,1963-033A,1963-08-06," Kapustin Yar, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
22,Cosmos   20,1963-040B,1963-10-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
23,Cosmos   21,1963-044A,1963-11-11," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Molniya,Unknown (U.S.S.R)
24,Cosmos   22,1963-045A,1963-11-16," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Voskhod,Unknown (U.S.S.R)
25,Cosmos   23,1963-050A,1963-12-13," Kapustin Yar, U.S.S.R", Cosmos,Soviet Academy of Sciences (U.S.S.R)
26,Cosmos   24,1963-052A,1963-12-19," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
27,DASH 2,1963-030D,1963-07-19," Point Arguello, United States", Atlas-Agena D,Department of Defense-Department of the Air Force (United States)
28,ERS  5,1963-014B,1963-05-09," Point Arguello, United States", Atlas-Agena B,Department of Defense-Department of the Air Force (United States)
29,ERS  6,1963-014C,1963-05-09," Point Arguello, United States", Atlas-Agena B,Department of Defense-Department of the Air Force (United States)
30,ERS  7,ERS7,1963-06-12," Point Arguello, United States", Atlas-Agena,Department of Defense-Department of the Air Force (United States)
31,ERS  9,1963-030B,1963-07-18," Point Arguello, United States", Atlas-Agena D,Department of Defense-Department of the Air Force (United States)
32,ERS 12,1963-039B,1963-10-17," Cape Canaveral, United States", Atlas-Agena D,Department of Defense-Department of the Air Force (United States)
33,Ferret  2,1963-003A,1963-01-16," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
34,Ferret  3,1963-027A,1963-06-29," Vandenberg AFB, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
35,Geophysical Research Sat,1963-026A,1963-06-28," Wallops Island, United States", Scout,Department of Defense-Department of the Air Force (United States)
36,Hitch Hiker 1,1963-025B,1963-06-27," Vandenberg AFB, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
37,Hitch Hiker 2,1963-042B,1963-10-29," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
38,Hitch Hiker 3,1963-055B,1963-12-21," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
39,IMP-A,1963-046A,1963-11-27," Cape Canaveral, United States", Thor-Delta,NASA-Office of Space Science Applications (United States)
40,KH 7-01,1963-028A,1963-07-12," Point Arguello, United States", Atlas-Agena D,Department of Defense-Department of the Air Force (United States)
41,KH 7-02,1963-036A,1963-09-06," Point Arguello, United States", Atlas-Agena D,Department of Defense-Department of the Air Force (United States)
42,KH 7-03,1963-041A,1963-10-25," Point Arguello, United States", Atlas-Agena D,Department of Defense-Department of the Air Force (United States)
43,KH 7-04,1963-051A,1963-12-18," Point Arguello, United States", Atlas,Department of Defense-Department of the Air Force (United States)
44,KH-4 9033,1963-035A,1963-08-29," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
45,KH-4 9051,1963-002A,1963-01-07," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
46,KH-4 9053,1963-007A,1963-04-01," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
47,KH-4 9054,1963-019A,1963-06-12," Vandenberg AFB, United States", Atlas-Agena,Department of Defense-Department of the Air Force (United States)
48,KH-4 9056,1963-025A,1963-06-27," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
49,KH-4 9057,1963-029A,1963-07-19," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
50,KH-4 9061,1963-048A,1963-11-27," Point Arguello, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
51,KH-4 9062,1963-055A,1963-12-21," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
52,KH-4A 1001,1963-034A,1963-08-24," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
53,KH-4A 1002,1963-037A,1963-09-23," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
54,KH-5 9059A,1963-042A,1963-10-29," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
