,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,ABRIXAS,1999-022A,1999-04-28," Kapustin Yar, Russia", Cosmos,"Deutsche Forschunganstalt fuer Luft- und Raumfahrt (DLR, nee DFVLR) (Federal Republic of Germany)"
1,Acrimsat,1999-070B,1999-12-21," Vandenberg AFB, United States", Taurus,Unknown (United States)
2,Arabsat 3A,1999-009A,1999-02-26," Kourou, French Guiana", Ariane 44L,Arabsat Satellite Communications (International)
3,ARGOS,1999-008A,1999-02-23," Vandenberg AFB, United States", Delta II 7920,Department of Defense-Department of the Air Force (United States)
4,AsiaSat 3S,1999-013A,1999-03-21," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Asia Satellite Telecommunications Co. Ltd. (AsiaSat) (Peoples Republic of China)
5,Astra 1H,1999-033A,1999-06-18," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton-K,Societe Europeenne des Satellites (Luxembourg) (Luxembourg)
6,CBERS 1,1999-057A,1999-10-14," Taiyuan, Peoples Republic of China", Long March 4B,Unknown (Brazil); China National Space Administration (Peoples Republic of China)
7,Chandra X-ray Observatory,1999-040B,1999-07-23," Cape Canaveral, United States", Shuttle,NASA-Office of Space Science (United States)
8,Clementine France,1999-064B,1999-12-03," Kourou, French Guiana", Ariane,Unknown (France)
9,Cosmos 2365,1999-044A,1999-08-18," Plesetsk, Russia", Soyuz-U,Unknown (Russia)
10,Cosmos 2366,1999-045A,1999-08-26," Plesetsk, Russia", Cosmos,Unknown (Russia)
11,Cosmos 2367,1999-072A,1999-12-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Tsiklon-2,Unknown (Russia)
12,Cosmos 2368,1999-073A,1999-12-27," Plesetsk, Russia", Molniya-M,Unknown (Russia)
13,Deep Space 2,DEEPSP2,1999-01-03," Cape Canaveral, United States", Delta II 7425,NASA-Office of Space Science (United States)
14,DirectTV 1-R,1999-056A,1999-10-10," Odyssey (Sea Launch Platform), ", Zenit,unknown
15,DLR-TUBSAT,1999-029C,1999-05-26," Sriharikota, India", PSLV,"Deutsche Forschunganstalt fuer Luft- und Raumfahrt (DLR, nee DFVLR) (Federal Republic of Germany)"
16,DMSP 5D-3/F15,1999-067A,1999-12-12," Vandenberg AFB, United States", Titan,Unknown (United States)
17,DSP F19,1999-017A,1999-04-09," Cape Canaveral, United States", Titan 4B,Department of Defense-Department of the Air Force (United States)
18,Echostar 5,1999-050A,1999-09-23," Cape Canaveral, United States", Atlas 2AS,Unknown (United States)
19,Eutelsat W6,1999-018A,1999-04-12," Cape Canaveral, United States", Atlas 2AS,European Telecommunications Satellite Consortium (International)
20,Fengyun 1C,1999-025A,1999-05-10," Taiyuan, Peoples Republic of China", Long March 4B,Unknown (Peoples Republic of China)
21,Foton 12,1999-048A,1999-09-09," Plesetsk, Russia", Soyuz-U,Unknown (Russia)
22,FUSE,1999-035A,1999-06-24," Cape Canaveral, United States", Delta II 7320,Canadian Space Agency (Canada); NASA-Office of Space Science Applications (United States); Centre National d'Etudes Spatiales (France)
23,Galaxy 11,1999-071A,1999-12-22," Kourou, French Guiana", Ariane 4,Unknown (United States)
24,GE 4,1999-060A,1999-11-13," Kourou, French Guiana", Ariane 44LP,Unknown (United States)
25,Globalstar M019,1999-019D,1999-04-15," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
26,Globalstar M022,1999-012A,1999-03-15," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz-U,Globalstar (International)
27,Globalstar M023,1999-004C,1999-02-09," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
28,Globalstar M024,1999-043A,1999-08-17," Cape Canaveral, United States", Delta II,Unknown (United States)
29,Globalstar M025,1999-031C,1999-06-10," Cape Canaveral, United States", Delta II,Globalstar (International)
30,Globalstar M026,1999-041A,1999-07-25," Cape Canaveral, United States", Delta II,Globalstar (International)
31,Globalstar M027,1999-043B,1999-08-17," Cape Canaveral, United States", Delta II,Unknown (United States)
32,Globalstar M028,1999-041B,1999-07-25," Cape Canaveral, United States", Delta II,Globalstar (International)
33,Globalstar M029,1999-062A,1999-11-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
34,Globalstar M030,1999-037B,1999-07-10," Cape Canaveral, United States", Delta II,Globalstar (International)
35,Globalstar M031,1999-058D,1999-10-18," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
36,Globalstar M032,1999-037A,1999-07-10," Cape Canaveral, United States", Delta II,Globalstar (International)
37,Globalstar M033,1999-049A,1999-09-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (United States)
38,Globalstar M034,1999-062B,1999-11-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
39,Globalstar M035,1999-037C,1999-07-10," Cape Canaveral, United States", Delta II,Globalstar (International)
40,Globalstar M036,1999-004A,1999-02-09," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
41,Globalstar M037,1999-012D,1999-03-15," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz-U,Globalstar (International)
42,Globalstar M038,1999-004D,1999-02-09," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
43,Globalstar M039,1999-062C,1999-11-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
44,Globalstar M040,1999-004B,1999-02-09," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
45,Globalstar M041,1999-012B,1999-03-15," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz-U,Globalstar (International)
46,Globalstar M042,1999-019B,1999-04-15," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
47,Globalstar M043,1999-041C,1999-07-25," Cape Canaveral, United States", Delta II,Globalstar (International)
48,Globalstar M044,1999-019C,1999-04-15," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
49,Globalstar M045,1999-019A,1999-04-15," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
50,Globalstar M046,1999-012C,1999-03-15," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz-U,Globalstar (International)
51,Globalstar M047,1999-031D,1999-06-10," Cape Canaveral, United States", Delta II,Globalstar (International)
52,Globalstar M048,1999-041D,1999-07-25," Cape Canaveral, United States", Delta II,Globalstar (International)
53,Globalstar M049,1999-031B,1999-06-10," Cape Canaveral, United States", Delta II,Globalstar (International)
54,Globalstar M050,1999-049B,1999-09-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (United States)
55,Globalstar M051,1999-037D,1999-07-10," Cape Canaveral, United States", Delta II,Globalstar (International)
56,Globalstar M052,1999-031A,1999-06-10," Cape Canaveral, United States", Delta II,Globalstar (International)
57,Globalstar M053,1999-043C,1999-08-17," Cape Canaveral, United States", Delta II,Unknown (United States)
58,Globalstar M054,1999-043D,1999-08-17," Cape Canaveral, United States", Delta II,Unknown (United States)
59,Globalstar M055,1999-049C,1999-09-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (United States)
60,Globalstar M056,1999-058C,1999-10-18," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
61,Globalstar M057,1999-058A,1999-10-18," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
62,Globalstar M058,1999-049D,1999-09-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Unknown (United States)
63,Globalstar M059,1999-058B,1999-10-18," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
64,Globalstar M061,1999-062D,1999-11-22," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Soyuz-U,Globalstar (International)
65,Helios 1B,1999-064A,1999-12-03," Kourou, French Guiana", Ariane,Unknown (French Guiana)
66,Ikonos 2,1999-051A,1999-09-24," Vandenberg AFB, United States", Athena 2,Unknown (United States)
67,INSAT 2E,1999-016A,1999-04-02," Kourou, French Guiana", Ariane 42P,Indian Space Research Organization (India)
68,Iridium 14A,1999-032A,1999-06-11," Taiyuan, Peoples Republic of China", Long March 2C,Iridium (United States)
69,Iridium 21A,1999-032B,1999-06-11," Taiyuan, Peoples Republic of China", Long March 2C,Iridium (United States)
70,IRS P4,1999-029A,1999-05-26," Sriharikota, India", PSLV,Indian Space Research Organization (India)
71,JCSAT 6,1999-006A,1999-02-16," Cape Canaveral, United States", Atlas 2AS,"Japan Satellite Systems, Inc. (Japan)"
