,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,1964-001A,1964-001A,1964-01-11," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
1,1964-001E,1964-001E,1964-01-11," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
2,1964-002B,1964-002B,1964-01-19," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
3,1964-002C,1964-002C,1964-01-19," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
4,1964-002X,NNN6401,1964-03-24," Point Arguello, United States", Thor-Agena,Department of Defense-Department of the Air Force (United States)
5,1964-031A,1964-031A,1964-06-18," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
6,1964-031B,1964-031B,1964-06-18," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
7,1964-035A,1964-035A,1964-07-03," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
8,1964-056A,1964-056A,1964-09-14," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Air Force (United States)
9,1964-068D,1964-068D,1964-10-23," Vandenberg AFB, United States", Atlas,Department of Defense-Department of the Air Force (United States)
10,1964-083C,1964-083C,1964-12-13," Vandenberg AFB, United States", Thor,Department of Defense-Department of the Navy (United States)
11,1964-087A,1964-087A,1964-12-21," Vandenberg AFB, United States", Thor Augmented Delta-Agena D,Department of Defense-Department of the Air Force (United States)
12,AD-B,1964-076A,1964-11-21," Vandenberg AFB, United States", Scout,NASA-Office of Space Science Applications (United States)
13,Ariel 2,1964-015A,1964-03-27," Wallops Island, United States", Scout,Unknown (United Kingdom); NASA-Office of Space Science Applications (United States)
14,Atlas Centaur 3,ATCEN3,1964-06-30," Cape Canaveral, United States", Atlas-Centaur,NASA-Office of Manned Space Flight (United States)
15,Atlas Centaur 4,1964-082A,1964-12-11," Cape Canaveral, United States", Atlas-Centaur,NASA-Office of Manned Space Flight (United States)
16,BE-B,1964-064A,1964-10-10," Vandenberg AFB, United States", Scout,NASA-Office of Space Science Applications (United States)
17,Beacon Explorer-A,EXS-66A,1964-03-19," Cape Canaveral, United States", Delta,NASA-Office of Space Science Applications (United States)
18,Calsphere,1964-063C,1964-10-06," Vandenberg AFB, United States", Thor-Able-Star,Department of Defense (United States)
19,Calsphere 2,1964-063E,1964-10-06," Vandenberg AFB, United States", Thor-Able-Star,Department of Defense-Department of the Navy (United States)
20,Cosmos   25,1964-010A,1964-02-27," Kapustin Yar, U.S.S.R", Cosmos,Unknown (U.S.S.R)
21,Cosmos   26,1964-013A,1964-03-18," Kapustin Yar, U.S.S.R", Modified SS-4 (Sandal IRBM) plus Upper Stage,Unknown (U.S.S.R)
22,Cosmos   27,1964-014A,1964-03-27," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Molniya-M,Unknown (U.S.S.R)
23,Cosmos   28,1964-017A,1964-04-04," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 1st Generation Upper Stage,Unknown (U.S.S.R)
24,Cosmos   29,1964-021A,1964-04-25," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 1st Generation Upper Stage,Unknown (U.S.S.R)
25,Cosmos   30,1964-023A,1964-05-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
26,Cosmos   31,1964-028A,1964-06-06," Kapustin Yar, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
27,Cosmos   32,1964-029A,1964-06-10," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 1st Generation Upper Stage,Unknown (U.S.S.R)
28,Cosmos   33,1964-033A,1964-06-23," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 1st Generation Upper Stage,Unknown (U.S.S.R)
29,Cosmos   34,1964-034A,1964-07-01," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
30,Cosmos   35,1964-039A,1964-07-15," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 1st Generation Upper Stage,Unknown (U.S.S.R)
31,Cosmos   36,1964-042A,1964-07-30," Kapustin Yar, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
32,Cosmos   37,1964-044A,1964-08-14," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
33,Cosmos   38,1964-046A,1964-08-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
34,Cosmos   39,1964-046B,1964-08-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
35,Cosmos   40,1964-046C,1964-08-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Kosmos-3,Unknown (U.S.S.R)
36,Cosmos   41,1964-049D,1964-08-22," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Molniya,Unknown (U.S.S.R)
37,Cosmos   42,1964-050A,1964-08-22," Kapustin Yar, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
38,Cosmos   43,1964-050C,1964-08-22," Kapustin Yar, U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
39,Cosmos   44,1964-053A,1964-08-28," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2M,Soviet Academy of Sciences (U.S.S.R)
40,Cosmos   45,1964-055A,1964-09-13," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Voskhod,Soviet Academy of Sciences (U.S.S.R)
41,Cosmos   46,1964-059A,1964-09-24," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
42,Cosmos   47,1964-062A,1964-10-06," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Voskhod,Unknown (U.S.S.R)
43,Cosmos   48,1964-066A,1964-10-14," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
44,Cosmos   49,1964-069A,1964-10-24," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Kosmos-2I,Unknown (U.S.S.R)
45,Cosmos   50,1964-070A,1964-10-28," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Vostok 2,Unknown (U.S.S.R)
