,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Astro-C,1987-012A,1987-02-05," Uchinoura Space Center, Japan", M-3S2-3,"Institute of Space and Aeronautical Science, U of Tokyo (Japan)"
1,AUSSAT A3,1987-078A,1987-09-16," Kourou, French Guiana", Ariane 3,AUSSAT Proprietary Ltd. (Australia)
2,Bion  8,1987-083A,1987-09-29," Plesetsk, U.S.S.R", Soyuz,"Institute of Biomedical Problems, Moscow (U.S.S.R); National Aeronautics and Space Administration (United States)"
3,Cosmos 1811,1987-002A,1987-01-09," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
4,Cosmos 1812,1987-003A,1987-01-14," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
5,Cosmos 1813,1987-004A,1987-01-15," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
6,Cosmos 1814,1987-006A,1987-01-21," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
7,Cosmos 1815,1987-007A,1987-01-22," Kapustin Yar, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
8,Cosmos 1816,1987-009A,1987-01-29," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
9,Cosmos 1817,1987-010A,1987-01-30," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton Booster Plus Upper Stage and Escape Stages,Unknown (U.S.S.R)
10,Cosmos 1818,1987-011A,1987-02-01," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon-2,Unknown (U.S.S.R)
11,Cosmos 1819,1987-014A,1987-02-07," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
12,Cosmos 1820,1987-016A,1987-02-14," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Zenit,Unknown (U.S.S.R)
13,Cosmos 1821,1987-017A,1987-02-18," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
14,Cosmos 1822,1987-019A,1987-02-19," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
15,Cosmos 1823,1987-020A,1987-02-20," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
16,Cosmos 1824,1987-021A,1987-02-26," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
17,Cosmos 1825,1987-024A,1987-03-03," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
18,Cosmos 1826,1987-025A,1987-03-11," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
19,Cosmos 1827,1987-026A,1987-03-13," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
20,Cosmos 1828,1987-026B,1987-03-13," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
21,Cosmos 1829,1987-026C,1987-03-13," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
22,Cosmos 1830,1987-026D,1987-03-13," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
23,Cosmos 1831,1987-026E,1987-03-13," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
24,Cosmos 1832,1987-026F,1987-03-13," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
25,Cosmos 1833,1987-027A,1987-03-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Zenit,Unknown (U.S.S.R)
26,Cosmos 1834,1987-031A,1987-04-08," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon-2,Unknown (U.S.S.R)
27,Cosmos 1835,1987-032A,1987-04-09," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
28,Cosmos 1836,1987-033A,1987-04-16," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
29,Cosmos 1837,1987-035A,1987-04-22," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
30,Cosmos 1838,1987-036A,1987-04-24," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton Booster Plus Upper Stage and Escape Stages,Scientific Production Association(Russia) (U.S.S.R)
31,Cosmos 1839,1987-036B,1987-04-24," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton Booster Plus Upper Stage and Escape Stages,Scientific Production Association(Russia) (U.S.S.R)
32,Cosmos 1840,1987-036C,1987-04-24," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton Booster Plus Upper Stage and Escape Stages,Scientific Production Association(Russia) (U.S.S.R)
33,Cosmos 1842,1987-038A,1987-04-27," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
34,Cosmos 1843,1987-039A,1987-05-05," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Soyuz,Unknown (U.S.S.R)
35,Cosmos 1844,1987-041A,1987-05-13," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Zenit,Unknown (U.S.S.R)
36,Cosmos 1845,1987-042A,1987-05-13," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
37,Cosmos 1846,1987-045A,1987-05-21," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
38,Cosmos 1847,1987-046A,1987-05-26," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
39,Cosmos 1848,1987-047A,1987-05-28," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
40,Cosmos 1849,1987-048A,1987-06-04," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage,Unknown (U.S.S.R)
41,Cosmos 1850,1987-049A,1987-06-09," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
42,Cosmos 1851,1987-050A,1987-06-12," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage,Unknown (U.S.S.R)
43,Cosmos 1852,1987-051A,1987-06-16," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
44,Cosmos 1853,1987-051B,1987-06-16," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
45,Cosmos 1854,1987-051C,1987-06-16," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
46,Cosmos 1855,1987-051D,1987-06-16," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
47,Cosmos 1856,1987-051E,1987-06-16," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
48,Cosmos 1857,1987-051F,1987-06-16," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
49,Cosmos 1858,1987-051G,1987-06-16," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
50,Cosmos 1859,1987-051H,1987-06-16," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
51,Cosmos 1860,1987-052A,1987-06-18," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon-2,Unknown (U.S.S.R)
52,Cosmos 1861,1987-054A,1987-06-23," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
53,Cosmos 1862,1987-055A,1987-07-01," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
54,Cosmos 1863,1987-056A,1987-07-04," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
55,Cosmos 1864,1987-057A,1987-07-06," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
56,Cosmos 1865,1987-058A,1987-07-08," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
57,Cosmos 1866,1987-059A,1987-07-09," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
58,Cosmos 1867,1987-060A,1987-07-10," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon-2,Unknown (U.S.S.R)
59,Cosmos 1868,1987-061A,1987-07-14," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
60,Cosmos 1869,1987-062A,1987-07-16," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
61,Cosmos 1870,1987-064A,1987-07-25," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton Booster Plus Upper Stage,Unknown (U.S.S.R)
62,Cosmos 1871,1987-065A,1987-08-01," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Zenit,Unknown (U.S.S.R)
63,Cosmos 1872,1987-069A,1987-08-19," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
64,Cosmos 1873,1987-071A,1987-08-28," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Zenit,Unknown (U.S.S.R)
65,Cosmos 1874,1987-072A,1987-09-03," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
66,Cosmos 1875,1987-074A,1987-09-07," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
67,Cosmos 1876,1987-074B,1987-09-07," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
68,Cosmos 1877,1987-074C,1987-09-07," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
69,Cosmos 1878,1987-074D,1987-09-07," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
70,Cosmos 1879,1987-074E,1987-09-07," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
71,Cosmos 1880,1987-074F,1987-09-07," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
72,Cosmos 1881,1987-076A,1987-09-11," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
73,Cosmos 1882,1987-077A,1987-09-15," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
74,Cosmos 1883,1987-079A,1987-09-16," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Scientific Production Association(Russia) (U.S.S.R)
75,Cosmos 1884,1987-079B,1987-09-16," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Scientific Production Association(Russia) (U.S.S.R)
76,Cosmos 1885,1987-079C,1987-09-16," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Scientific Production Association(Russia) (U.S.S.R)
77,Cosmos 1886,1987-081A,1987-09-17," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
78,Cosmos 1888,1987-084A,1987-10-01," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton-K,Unknown (U.S.S.R)
79,Cosmos 1889,1987-085A,1987-10-09," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
80,Cosmos 1890,1987-086A,1987-10-10," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-9 (SCARP) or SS-13 (SCRAG) with Orbital and Maneuverable,Unknown (U.S.S.R)
81,Cosmos 1891,1987-087A,1987-10-14," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
82,Cosmos 1892,1987-088A,1987-10-20," Plesetsk, U.S.S.R", F-2,Unknown (U.S.S.R)
83,Cosmos 1893,1987-089A,1987-10-22," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
84,Cosmos 1894,1987-091A,1987-10-28," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton Booster Plus Upper Stage and Escape Stages,Unknown (U.S.S.R)
85,Cosmos 1895,1987-092A,1987-11-11," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
86,Cosmos 1896,1987-093A,1987-11-14," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
87,Cosmos 1897,1987-096A,1987-11-26," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Proton Booster Plus Upper Stage and Escape Stages,Unknown (U.S.S.R)
88,Cosmos 1898,1987-098A,1987-12-01," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
89,Cosmos 1899,1987-099A,1987-12-07," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
90,Cosmos 1900,1987-101A,1987-12-12," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Tsiklon-2,Unknown (U.S.S.R)
91,Cosmos 1901,1987-102A,1987-12-14," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
92,Cosmos 1902,1987-103A,1987-12-15," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
