,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,Ariane V3,ARIANV3,1980-03-01," Kourou, French Guiana", Ariane,European Space Agency (International); Centre National d'Etudes Spatiales (France)
1,Ariane V4,ARIANV4,1980-11-01," Kourou, French Guiana", Ariane,European Space Agency (International); Centre National d'Etudes Spatiales (France)
2,Ayame 2,1980-018A,1980-02-22," Tanegashima, Japan", N-1,National Space Development Agency (NASDA) (Japan)
3,Cosmos 1149,1980-001A,1980-01-09," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
4,Cosmos 1150,1980-003A,1980-01-14," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
5,Cosmos 1151,1980-005A,1980-01-23," Plesetsk, U.S.S.R", Tsiklon-3,Unknown (U.S.S.R)
6,Cosmos 1152,1980-006A,1980-01-24," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
7,Cosmos 1153,1980-007A,1980-01-25," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
8,Cosmos 1154,1980-008A,1980-01-30," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 1st Generation Upper Stage,Unknown (U.S.S.R)
9,Cosmos 1155,1980-009A,1980-02-07," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
10,Cosmos 1156,1980-012A,1980-02-11," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
11,Cosmos 1157,1980-012B,1980-02-11," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
12,Cosmos 1158,1980-012C,1980-02-11," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
13,Cosmos 1159,1980-012D,1980-02-11," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
14,Cosmos 1160,1980-012E,1980-02-11," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
15,Cosmos 1161,1980-012F,1980-02-11," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
16,Cosmos 1162,1980-012G,1980-02-11," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
17,Cosmos 1163,1980-012H,1980-02-11," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
18,Cosmos 1164,1980-013A,1980-02-12," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage,Unknown (U.S.S.R)
19,Cosmos 1165,1980-017A,1980-02-21," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
20,Cosmos 1166,1980-020A,1980-03-04," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
21,Cosmos 1167,1980-021A,1980-03-14," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-9 (SCARP) or SS-13 (SCRAG) with Orbital and Maneuverable,Unknown (U.S.S.R)
22,Cosmos 1168,1980-022A,1980-03-17," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
23,Cosmos 1169,1980-023A,1980-03-27," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
24,Cosmos 1170,1980-025A,1980-04-01," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
25,Cosmos 1171,1980-026A,1980-04-03," Plesetsk, U.S.S.R", Modified SS-5 (SKean IRBM) plus Upper Stage,Unknown (U.S.S.R)
26,Cosmos 1172,1980-028A,1980-04-12," Plesetsk, U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage,Unknown (U.S.S.R)
27,Cosmos 1173,1980-029A,1980-04-17," Tyuratam (Baikonur Cosmodrome), U.S.S.R", Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage,Unknown (U.S.S.R)
