,Spacecraft Name,NSSDCA ID,Launch Date,Site,Vehicle,Funder
0,ACTS,1993-058B,1993-09-12," Cape Canaveral, United States", Shuttle,NASA-Office of Space Science Applications (United States)
1,Alexis,1993-026A,1993-04-25," Edwards Air Force Base, United States", Pegasus,Department of Energy (United States)
2,Arasene,1993-031B,1993-05-12," Kourou, French Guiana", Ariane 4,Unknown (France)
3,ASCA,1993-011A,1993-02-20," Uchinoura Space Center, Japan", M-3SII,"National Aeronautics and Space Administration (United States); Institute of Space and Aeronautical Science, U of Tokyo (Japan)"
4,Astra 1C,1993-031A,1993-05-12," Kourou, French Guiana", Ariane 4,Societe Europeenne des Satellites (Luxembourg) (Luxembourg)
5,Atlas 2,ATLAS2,1993-04-08," Cape Canaveral, United States", Shuttle,NASA-Office of Space Science Applications (United States)
6,Cosmos 2230,1993-001A,1993-01-12," Plesetsk, Russia", Cosmos,Unknown (U.S.S.R)
7,Cosmos 2231,1993-004A,1993-01-19," Plesetsk, Russia", Soyuz,Unknown (U.S.S.R)
8,Cosmos 2232,1993-006A,1993-01-26," Plesetsk, Russia", Molniya-M,Unknown (U.S.S.R)
9,Cosmos 2233,1993-008A,1993-02-09," Plesetsk, Russia", Cosmos,Unknown (U.S.S.R)
10,Cosmos 2234,1993-010A,1993-02-17," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Scientific Production Association(Russia) (Russia)
11,Cosmos 2235,1993-010B,1993-02-17," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Scientific Production Association(Russia) (Russia)
12,Cosmos 2236,1993-010C,1993-02-17," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Proton,Scientific Production Association(Russia) (Russia)
13,Cosmos 2237,1993-016A,1993-03-26," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Zenit,Unknown (U.S.S.R)
14,Cosmos 2238,1993-018A,1993-03-30," Tyuratam (Baikonur Cosmodrome), Kazakhstan", Tsiklon-2,Unknown (U.S.S.R)
15,Cosmos 2239,1993-020A,1993-04-02," Plesetsk, Russia", Cosmos,Unknown (U.S.S.R)
